### single symbol backtest metrics ###

update: 2023-12-14

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp            average daily gain, recent data weighted heavier
adg_per_exp              average daily gain for whole backtest
exp_rts_mean             exposure ratios mean: average wallet exposure during backtest
time_at_max_exp          ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max            how many hours in a stretch with no fills
pa_dist_mean             price action distance mean: the average distance between position price and market price
pa_dist_std              price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean  mean of 1% highest pa_dist_mean
loss_profit_rt           loss to profit ratio: abs(sum(losses)) / sum(profit)
drawdown_max             max drawdown
drawdown_1pct_worst_mean mean of 1% worst drawdowns from hourly samples
sharpe_ratio             sharpe ratio (excluding risk free return) from daily samples
n_days                   backtest number of days
score                    used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                   long                                                                                                                   |
+---------------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | pa_dist_mean | pa_dist_std | hrs_stuck_max | pa_dist_1pct_worst_mean | loss_profit_rt | drawdown_1pct_worst_mean | drawdown_max | n_days  | score         |
+---------------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| ARKUSDT       | 0.003946      | 0.002671    | 0.02003      | 0.00155         | 0.01726      | 0.01226     | 59.67         | 0.05622                 | 0.0            | 0.02089                  | 0.1023       | 83.29   | 274099999.996 |
| 1000PEPEUSDT  | 0.003709      | 0.001752    | 0.02479      | 0.002079        | 0.01231      | 0.01024     | 57.63         | 0.05148                 | 0.0            | 0.01787                  | 0.08499      | 220.29  | 274099999.996 |
| MAVUSDT       | 0.002553      | 0.00193     | 0.06034      | 0.01243         | 0.01237      | 0.01005     | 86.92         | 0.05614                 | 0.0            | 0.04661                  | 0.08824      | 165.46  | 274099999.997 |
| SEIUSDT       | 0.003404      | 0.001845    | 0.05275      | 0.02278         | 0.009924     | 0.009166    | 80.83         | 0.08458                 | 0.0            | 0.07755                  | 0.1242       | 116.88  | 274099999.997 |
| BLURUSDT      | 0.002791      | 0.001662    | 0.05642      | 0.0146          | 0.008598     | 0.007836    | 107.6         | 0.05701                 | 0.0            | 0.0541                   | 0.09917      | 227.46  | 274099999.997 |
| WLDUSDT       | 0.002557      | 0.002514    | 0.07463      | 0.03897         | 0.00948      | 0.008211    | 43.88         | 0.04648                 | 0.0            | 0.0442                   | 0.05902      | 140.46  | 274099999.997 |
| COMBOUSDT     | 0.002718      | 0.0009308   | 0.05618      | 0.03242         | 0.01894      | 0.01383     | 108.1         | 0.08831                 | 0.0            | 0.08042                  | 0.1452       | 192.46  | 274099999.997 |
| BNTUSDT       | 0.001644      | 0.001463    | 0.04495      | 0.004418        | 0.00824      | 0.006558    | 71.93         | 0.0315                  | 0.0            | 0.01581                  | 0.02899      | 123.46  | 274099999.998 |
| MINAUSDT      | 0.001582      | 0.001218    | 0.01922      | 0.00413         | 0.006532     | 0.006551    | 52.27         | 0.0398                  | 0.0            | 0.02961                  | 0.1142       | 307.5   | 274099999.998 |
| ARKMUSDT      | 0.002365      | 0.001969    | 0.05247      | 0.03265         | 0.01177      | 0.009967    | 60.47         | 0.06                    | 0.0            | 0.05656                  | 0.1176       | 136.88  | 274099999.998 |
| FRONTUSDT     | 0.002303      | 0.001756    | 0.0457       | 0.03093         | 0.009809     | 0.01079     | 39.2          | 0.07975                 | 0.0            | 0.07392                  | 0.1032       | 80.38   | 274099999.998 |
| HFTUSDT       | 0.001678      | 0.0009275   | 0.03867      | 0.01851         | 0.01486      | 0.01223     | 103.5         | 0.06291                 | 0.0            | 0.05894                  | 0.09858      | 249.46  | 274099999.998 |
| GLMRUSDT      | 0.002426      | 0.001553    | 0.03226      | 0.02454         | 0.006912     | 0.005911    | 82.22         | 0.01901                 | 0.0            | 0.002473                 | 0.009453     | 76.92   | 274099999.998 |
| DODOXUSDT     | 0.001893      | 0.001613    | 0.09543      | 0.04813         | 0.009328     | 0.008977    | 111.4         | 0.07505                 | 0.0            | 0.06976                  | 0.0925       | 125.46  | 274099999.998 |
| 1000LUNCUSDT  | 0.002119      | 0.001813    | 0.03595      | 0.003726        | 0.005969     | 0.00681     | 56.73         | 0.04506                 | 0.0            | 0.03455                  | 0.107        | 458.42  | 274099999.998 |
| BICOUSDT      | 0.001905      | 0.001732    | 0.01099      | 0.002402        | 0.004179     | 0.003348    | 41.58         | 0.01367                 | 0.0            | 0.001559                 | 0.005476     | 74.46   | 274099999.998 |
| OXTUSDT       | 0.002038      | 0.00144     | 0.03225      | 0.02228         | 0.00766      | 0.006578    | 49.82         | 0.04252                 | 0.0            | 0.04091                  | 0.05651      | 122.46  | 274099999.998 |
| PENDLEUSDT    | 0.001559      | 0.001137    | 0.05529      | 0.00149         | 0.01248      | 0.009844    | 93.37         | 0.04356                 | 0.0            | 0.0183                   | 0.04911      | 136.88  | 274099999.998 |
| KEYUSDT       | 0.001619      | 0.001402    | 0.02722      | 0.01568         | 0.005359     | 0.006054    | 72.55         | 0.04329                 | 0.0            | 0.04052                  | 0.1302       | 201.46  | 274099999.998 |
| HIFIUSDT      | 0.00185       | 0.002811    | 0.1101       | 0.04217         | 0.0117       | 0.01222     | 54.53         | 0.07642                 | 0.0            | 0.07113                  | 0.08543      | 86.38   | 274099999.998 |
| INJUSDT       | 0.00154       | 0.001193    | 0.04716      | 0.01877         | 0.01349      | 0.01181     | 84.07         | 0.07108                 | 0.0            | 0.06284                  | 0.1238       | 481.88  | 274099999.998 |
| RNDRUSDT      | 0.002093      | 0.002005    | 0.07148      | 0.008265        | 0.009221     | 0.009592    | 62.15         | 0.07578                 | 0.0            | 0.06394                  | 0.1174       | 311.88  | 274099999.998 |
| SUIUSDT       | 0.001759      | 0.001447    | 0.04929      | 0.02047         | 0.01123      | 0.01078     | 78.72         | 0.08439                 | 0.0            | 0.07632                  | 0.1343       | 222.29  | 274099999.998 |
| YGGUSDT       | 0.002413      | 0.002302    | 0.06863      | 0.01638         | 0.01048      | 0.00961     | 72.9          | 0.06377                 | 0.0            | 0.05856                  | 0.07289      | 129.83  | 274099999.998 |
| SOLUSDT       | 0.001632      | 0.003047    | 0.05577      | 0.02828         | 0.01176      | 0.01292     | 109.3         | 0.09521                 | 0.0            | 0.08634                  | 0.1672       | 1183.67 | 274099999.998 |
| STXUSDT       | 0.001531      | 0.001392    | 0.07358      | 0.01181         | 0.01089      | 0.01109     | 106.1         | 0.09582                 | 0.0            | 0.08647                  | 0.123        | 293.38  | 274099999.998 |
| LQTYUSDT      | 0.001507      | 0.001215    | 0.03665      | 0.01401         | 0.01274      | 0.01141     | 76.4          | 0.07472                 | 0.0            | 0.0683                   | 0.137        | 276.46  | 274099999.998 |
| TRUUSDT       | 0.001617      | 0.0008446   | 0.03901      | 0.02315         | 0.01577      | 0.01404     | 80.15         | 0.08157                 | 0.0            | 0.07508                  | 0.1202       | 280.46  | 274099999.998 |
| MDTUSDT       | 0.002145      | 0.001073    | 0.02903      | 0.006709        | 0.007049     | 0.006467    | 48.98         | 0.03286                 | 0.0            | 0.02103                  | 0.0495       | 164.46  | 274099999.998 |
| CRVUSDT       | 0.0006896     | 0.001558    | 0.04035      | 0.01579         | 0.01332      | 0.01386     | 97.4          | 0.08902                 | 0.0            | 0.08019                  | 0.2442       | 1196.67 | 274099999.999 |
| XEMUSDT       | 0.0005933     | 0.001235    | 0.03245      | 0.01586         | 0.01111      | 0.01251     | 112.5         | 0.0779                  | 0.0            | 0.07094                  | 0.1644       | 1014.67 | 274099999.999 |
| AAVEUSDT      | 0.001101      | 0.002574    | 0.05232      | 0.02837         | 0.0121       | 0.01182     | 118.4         | 0.06633                 | 0.0            | 0.06066                  | 0.2224       | 1150.67 | 274099999.999 |
| EGLDUSDT      | 0.0006507     | 0.001351    | 0.03757      | 0.01222         | 0.009364     | 0.01419     | 88.4          | 0.09432                 | 0.0            | 0.08372                  | 0.2452       | 1183.67 | 274099999.999 |
| ALPHAUSDT     | 0.0009975     | 0.00238     | 0.05119      | 0.02416         | 0.01316      | 0.01209     | 112.9         | 0.08861                 | 0.0            | 0.08073                  | 0.1665       | 1113.67 | 274099999.999 |
| KNCUSDT       | 0.0005305     | 0.0006021   | 0.01549      | 0.005141        | 0.01618      | 0.01263     | 115.6         | 0.05129                 | 0.0            | 0.02043                  | 0.1087       | 1267.62 | 274099999.999 |
| LRCUSDT       | 0.0008469     | 0.001801    | 0.06333      | 0.0209          | 0.01116      | 0.01021     | 113.9         | 0.0748                  | 0.0            | 0.06831                  | 0.2123       | 1148.67 | 274099999.999 |
| XVGUSDT       | 0.001385      | 0.001581    | 0.08971      | 0.01899         | 0.009668     | 0.008955    | 52.03         | 0.06475                 | 0.0            | 0.05309                  | 0.08258      | 160.46  | 274099999.999 |
| OMGUSDT       | 0.0009972     | 0.00176     | 0.06604      | 0.01369         | 0.01365      | 0.01324     | 105.5         | 0.07278                 | 0.0            | 0.06451                  | 0.1888       | 1257.58 | 274099999.999 |
| IDEXUSDT      | 0.0009069     | 0.001051    | 0.07496      | 0.05022         | 0.0124       | 0.01144     | 110.4         | 0.08801                 | 0.0            | 0.08093                  | 0.1089       | 222.46  | 274099999.999 |
| ACHUSDT       | 0.0008086     | 0.0008572   | 0.03129      | 0.01701         | 0.009411     | 0.009847    | 60.98         | 0.07564                 | 0.0            | 0.06998                  | 0.1244       | 292.38  | 274099999.999 |
| QNTUSDT       | 0.0006463     | 0.0007829   | 0.06261      | 0.0             | 0.008495     | 0.008086    | 102.2         | 0.04703                 | 0.0            | 0.0331                   | 0.05161      | 417.88  | 274099999.999 |
| UMAUSDT       | 0.001211      | 0.0008488   | 0.04648      | 0.005952        | 0.007226     | 0.006212    | 59.07         | 0.04553                 | 0.0            | 0.03295                  | 0.1113       | 215.46  | 274099999.999 |
| RSRUSDT       | 0.0005589     | 0.001122    | 0.03031      | 0.003493        | 0.01545      | 0.01186     | 104.6         | 0.04795                 | 0.0            | 0.02063                  | 0.1574       | 1148.67 | 274099999.999 |
| TRBUSDT       | 0.0009851     | 0.001267    | 0.03014      | 0.01361         | 0.01528      | 0.01436     | 115.5         | 0.07575                 | 0.0            | 0.06285                  | 0.1889       | 1194.67 | 274099999.999 |
| MANAUSDT      | 0.000805      | 0.001299    | 0.02211      | 0.01206         | 0.009462     | 0.01039     | 84.53         | 0.06113                 | 0.0            | 0.05392                  | 0.2481       | 1001.67 | 274099999.999 |
| FTMUSDT       | 0.0007294     | 0.001634    | 0.03826      | 0.01222         | 0.01249      | 0.01414     | 112.0         | 0.09359                 | 0.0            | 0.08202                  | 0.2328       | 1173.67 | 274099999.999 |
| HBARUSDT      | 0.001045      | 0.001749    | 0.0704       | 0.01644         | 0.01014      | 0.01044     | 116.6         | 0.06496                 | 0.0            | 0.05828                  | 0.1603       | 999.67  | 274099999.999 |
| GALUSDT       | 0.0007166     | 0.001226    | 0.04532      | 0.008157        | 0.01383      | 0.01018     | 98.22         | 0.06395                 | 0.0            | 0.04877                  | 0.09967      | 585.38  | 274099999.999 |
| BANDUSDT      | 0.0007524     | 0.001458    | 0.0407       | 0.007529        | 0.01717      | 0.01245     | 110.3         | 0.05908                 | 0.0            | 0.04432                  | 0.1494       | 1230.67 | 274099999.999 |
| AGIXUSDT      | 0.00116       | 0.001136    | 0.06572      | 0.01199         | 0.01262      | 0.0106      | 109.8         | 0.07456                 | 0.0            | 0.06876                  | 0.09282      | 298.38  | 274099999.999 |
| FXSUSDT       | 0.000969      | 0.0003958   | 0.0111       | 0.0007029       | 0.01661      | 0.01231     | 75.92         | 0.05006                 | 0.0            | 0.006689                 | 0.06634      | 325.83  | 274099999.999 |
| ETCUSDT       | 0.0006737     | 0.001389    | 0.01803      | 0.006309        | 0.005831     | 0.005336    | 70.58         | 0.02871                 | 0.0            | 0.02242                  | 0.1287       | 1425.62 | 274099999.999 |
| DEFIUSDT      | 0.000516      | 0.001152    | 0.04581      | 0.01496         | 0.01131      | 0.01098     | 111.6         | 0.06578                 | 0.0            | 0.05933                  | 0.1848       | 1200.67 | 274099999.999 |
| ENJUSDT       | 0.0006804     | 0.001174    | 0.04859      | 0.01219         | 0.01169      | 0.01522     | 109.7         | 0.09996                 | 0.0            | 0.0717                   | 0.2377       | 1168.67 | 274099999.999 |
| SNXUSDT       | 0.001189      | 0.001676    | 0.0585       | 0.02213         | 0.01635      | 0.01655     | 110.2         | 0.08303                 | 0.0            | 0.06358                  | 0.2456       | 1214.67 | 274099999.999 |
| MTLUSDT       | 0.0009149     | 0.001219    | 0.05074      | 0.01384         | 0.01673      | 0.01637     | 115.8         | 0.09673                 | 0.0            | 0.08344                  | 0.2359       | 985.67  | 274099999.999 |
| FETUSDT       | 0.001332      | 0.001239    | 0.02347      | 0.005637        | 0.00746      | 0.006581    | 42.5          | 0.03429                 | 0.0            | 0.02336                  | 0.05757      | 328.88  | 274099999.999 |
| HOTUSDT       | 0.001065      | 0.002189    | 0.0469       | 0.02244         | 0.01056      | 0.01199     | 111.5         | 0.07022                 | 0.0            | 0.06544                  | 0.1894       | 986.67  | 274099999.999 |
| 1000SHIBUSDT  | 0.000849      | 0.001963    | 0.04076      | 0.004081        | 0.01022      | 0.007895    | 90.58         | 0.04735                 | 0.0            | 0.03192                  | 0.2126       | 945.25  | 274099999.999 |
| SPELLUSDT     | 0.001002      | 0.0009409   | 0.0475       | 0.007762        | 0.008228     | 0.00689     | 91.33         | 0.04285                 | 0.0            | 0.03787                  | 0.09419      | 461.46  | 274099999.999 |
