### single symbol backtest metrics ###

update: 2023-12-01

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp            average daily gain, recent data weighted heavier
adg_per_exp              average daily gain for whole backtest
exp_rts_mean             exposure ratios mean: average wallet exposure during backtest
time_at_max_exp          ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max            how many hours in a stretch with no fills
pa_dist_mean             price action distance mean: the average distance between position price and market price
pa_dist_std              price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean  mean of 1% highest pa_dist_mean
loss_profit_rt           loss to profit ratio: abs(sum(losses)) / sum(profit)
drawdown_max             max drawdown
drawdown_1pct_worst_mean mean of 1% worst drawdowns from hourly samples
sharpe_ratio             sharpe ratio (excluding risk free return) from daily samples
n_days                   backtest number of days
score                    used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                   long                                                                                                                   |
+---------------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | pa_dist_mean | pa_dist_std | hrs_stuck_max | pa_dist_1pct_worst_mean | loss_profit_rt | drawdown_1pct_worst_mean | drawdown_max | n_days  | score         |
+---------------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| SEIUSDT       | 0.004524      | 0.002463    | 0.1134       | 0.01953         | 0.01172      | 0.00917     | 109.6         | 0.08309                 | 0.01009        | 0.07983                  | 0.1239       | 104.88  | 276499999.995 |
| 1000PEPEUSDT  | 0.003731      | 0.002405    | 0.03466      | 0.00642         | 0.01226      | 0.009837    | 133.6         | 0.0501                  | 0.002063       | 0.03613                  | 0.0885       | 208.29  | 276499999.996 |
| BNTUSDT       | 0.002832      | 0.002201    | 0.03987      | 0.009256        | 0.007291     | 0.005391    | 59.63         | 0.02441                 | 6.597e-05      | 0.01876                  | 0.05037      | 111.46  | 276499999.997 |
| ARKMUSDT      | 0.003323      | 0.002149    | 0.05753      | 0.0303          | 0.01198      | 0.00975     | 51.4          | 0.05186                 | 0.01371        | 0.04864                  | 0.08571      | 124.88  | 276499999.997 |
| BLURUSDT      | 0.002851      | 0.001585    | 0.05289      | 0.01851         | 0.01022      | 0.00892     | 123.2         | 0.07126                 | 0.0263         | 0.0715                   | 0.1115       | 215.46  | 276499999.997 |
| WLDUSDT       | 0.003152      | 0.002721    | 0.06397      | 0.05514         | 0.008067     | 0.009596    | 28.88         | 0.04803                 | 0.02577        | 0.04631                  | 0.05942      | 128.46  | 276499999.997 |
| XVGUSDT       | 0.001581      | 0.001759    | 0.1148       | 0.09927         | 0.009625     | 0.01045     | 51.65         | 0.0643                  | 0.1026         | 0.06411                  | 0.0822       | 147.46  | 276499999.998 |
| MINAUSDT      | 0.001813      | 0.001487    | 0.07706      | 0.04746         | 0.01324      | 0.01403     | 132.1         | 0.09564                 | 0.147          | 0.09631                  | 0.1442       | 295.5   | 276499999.998 |
| FETUSDT       | 0.001884      | 0.001518    | 0.07137      | 0.0252          | 0.01697      | 0.01276     | 125.7         | 0.0842                  | 0.04055        | 0.08272                  | 0.124        | 316.88  | 276499999.998 |
| CYBERUSDT     | 0.001814      | 0.002391    | 0.02272      | 0.0006211       | 0.008139     | 0.0064      | 49.23         | 0.02495                 | 0.0            | 0.006018                 | 0.01105      | 100.46  | 276499999.998 |
| HFTUSDT       | 0.002042      | 0.0009535   | 0.04981      | 0.01486         | 0.01149      | 0.01075     | 91.3          | 0.0617                  | 0.02148        | 0.0492                   | 0.09029      | 237.46  | 276499999.998 |
| MAVUSDT       | 0.001831      | 0.001395    | 0.04554      | 0.01699         | 0.01571      | 0.01172     | 113.8         | 0.07499                 | 0.01212        | 0.07027                  | 0.1076       | 153.46  | 276499999.998 |
| DODOXUSDT     | 0.001816      | 0.001393    | 0.01498      | 0.006202        | 0.00468      | 0.004562    | 25.92         | 0.02423                 | 0.0            | 0.01655                  | 0.09253      | 113.46  | 276499999.998 |
| 1000FLOKIUSDT | 0.002011      | 0.001231    | 0.06185      | 0.01677         | 0.01642      | 0.01108     | 89.67         | 0.07725                 | 0.05982        | 0.0777                   | 0.1301       | 207.29  | 276499999.998 |
