### single symbol backtest metrics ###

update: 2023-12-07

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp            average daily gain, recent data weighted heavier
adg_per_exp              average daily gain for whole backtest
exp_rts_mean             exposure ratios mean: average wallet exposure during backtest
time_at_max_exp          ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max            how many hours in a stretch with no fills
pa_dist_mean             price action distance mean: the average distance between position price and market price
pa_dist_std              price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean  mean of 1% highest pa_dist_mean
loss_profit_rt           loss to profit ratio: abs(sum(losses)) / sum(profit)
drawdown_max             max drawdown
drawdown_1pct_worst_mean mean of 1% worst drawdowns from hourly samples
sharpe_ratio             sharpe ratio (excluding risk free return) from daily samples
n_days                   backtest number of days
score                    used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                   long                                                                                                                   |
+---------------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | pa_dist_mean | pa_dist_std | hrs_stuck_max | pa_dist_1pct_worst_mean | loss_profit_rt | drawdown_1pct_worst_mean | drawdown_max | n_days  | score         |
+---------------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| ARKUSDT       | 0.004922      | 0.004009    | 0.04383      | 0.03271         | 0.008762     | 0.009912    | 34.4          | 0.08031                 | 0.0            | 0.07433                  | 0.09919      | 78.29   | 276499999.995 |
| SEIUSDT       | 0.004278      | 0.002113    | 0.08074      | 0.03967         | 0.01027      | 0.00944     | 89.48         | 0.08476                 | 0.0            | 0.07777                  | 0.1229       | 111.88  | 276499999.996 |
| BLURUSDT      | 0.003047      | 0.001742    | 0.05016      | 0.01727         | 0.008927     | 0.00835     | 107.4         | 0.07099                 | 0.0            | 0.06657                  | 0.1112       | 222.46  | 276499999.997 |
| 1000PEPEUSDT  | 0.003279      | 0.00232     | 0.05779      | 0.02264         | 0.01228      | 0.01102     | 78.82         | 0.07371                 | 0.0            | 0.06862                  | 0.1097       | 214.29  | 276499999.997 |
| BNTUSDT       | 0.002237      | 0.002682    | 0.05812      | 0.0341          | 0.008713     | 0.0073      | 76.12         | 0.05304                 | 0.0            | 0.05037                  | 0.07607      | 118.46  | 276499999.998 |
| ARKMUSDT      | 0.002378      | 0.001967    | 0.04215      | 0.01022         | 0.01009      | 0.007022    | 28.5          | 0.03383                 | 0.0            | 0.02798                  | 0.06474      | 131.88  | 276499999.998 |
| FRONTUSDT     | 0.001786      | 0.002587    | 0.08809      | 0.02762         | 0.01334      | 0.01292     | 45.57         | 0.08862                 | 0.0            | 0.08083                  | 0.1116       | 75.38   | 276499999.998 |
| HFTUSDT       | 0.001955      | 0.00113     | 0.05809      | 0.02666         | 0.01249      | 0.01187     | 121.7         | 0.09538                 | 0.0            | 0.08746                  | 0.1154       | 244.46  | 276499999.998 |
| MAVUSDT       | 0.002415      | 0.001539    | 0.03415      | 0.002024        | 0.01518      | 0.01342     | 138.1         | 0.06948                 | 0.0            | 0.01344                  | 0.026        | 160.46  | 276499999.998 |
| 1000LUNCUSDT  | 0.001613      | 0.00166     | 0.0498       | 0.01775         | 0.007995     | 0.008969    | 108.8         | 0.08211                 | 0.0            | 0.07546                  | 0.1372       | 452.42  | 276499999.998 |
| IDUSDT        | 0.001512      | 0.0008426   | 0.03953      | 0.006898        | 0.01459      | 0.01141     | 110.0         | 0.06324                 | 0.0            | 0.05403                  | 0.09809      | 258.38  | 276499999.998 |
