### single symbol backtest metrics ###

update: 2023-11-10

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp            average daily gain, recent data weighted heavier
adg_per_exp              average daily gain for whole backtest
exp_rts_mean             exposure ratios mean: average wallet exposure during backtest
time_at_max_exp          ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max            how many hours in a stretch with no fills
pa_dist_mean             price action distance mean: the average distance between position price and market price
pa_dist_std              price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean  mean of 1% highest pa_dist_mean
loss_profit_rt           loss to profit ratio: abs(sum(losses)) / sum(profit)
drawdown_max             max drawdown
drawdown_1pct_worst_mean mean of 1% worst drawdowns from hourly samples
sharpe_ratio             sharpe ratio (excluding risk free return) from daily samples
n_days                   backtest number of days
score                    used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                   long                                                                                                                   |
+---------------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | pa_dist_mean | pa_dist_std | hrs_stuck_max | pa_dist_1pct_worst_mean | loss_profit_rt | drawdown_1pct_worst_mean | drawdown_max | n_days  | score         |
+---------------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| TRXUSDT       | 0.001545      | 0.001252    | 0.141        | 0.05892         | 0.01321      | 0.0154      | 136.1         | 0.09912                 | 0.05159        | 0.09231                  | 0.2014       | 1393.66 | 275999999.998 |
| CRVUSDT       | 0.0006147     | 0.001018    | 0.04582      | 0.01218         | 0.02278      | 0.01946     | 51.08         | 0.09944                 | 0.07807        | 0.07768                  | 0.2188       | 1163.71 | 275999999.999 |
| EOSUSDT       | 0.0009313     | 0.001178    | 0.09531      | 0.03478         | 0.01388      | 0.01492     | 59.43         | 0.09163                 | 0.05236        | 0.0923                   | 0.1533       | 1400.66 | 275999999.999 |
| DUSKUSDT      | 0.000508      | 0.0009672   | 0.05289      | 0.02212         | 0.009879     | 0.01077     | 17.73         | 0.08958                 | 0.08878        | 0.08423                  | 0.1433       | 670.85  | 275999999.999 |
| TOMOUSDT      | 0.0007582     | 0.0007786   | 0.0445       | 0.01919         | 0.02009      | 0.019       | 54.05         | 0.09925                 | 0.0762         | 0.08733                  | 0.171        | 1122.71 | 275999999.999 |
| AAVEUSDT      | 0.0008563     | 0.0009943   | 0.07795      | 0.02591         | 0.02016      | 0.01832     | 46.97         | 0.09046                 | 0.08806        | 0.08376                  | 0.1517       | 1118.71 | 275999999.999 |
| EGLDUSDT      | 0.0007905     | 0.001345    | 0.09418      | 0.04724         | 0.01529      | 0.01965     | 65.85         | 0.09281                 | 0.06289        | 0.08231                  | 0.1983       | 1150.71 | 275999999.999 |
| ALPHAUSDT     | 0.0005321     | 0.0009965   | 0.06229      | 0.02193         | 0.01831      | 0.01835     | 59.93         | 0.09935                 | 0.04298        | 0.08778                  | 0.2197       | 1080.71 | 275999999.999 |
| CTSIUSDT      | 0.0005803     | 0.0009705   | 0.06282      | 0.0154          | 0.01755      | 0.01659     | 80.0          | 0.09503                 | 0.0513         | 0.08605                  | 0.2383       | 743.85  | 275999999.999 |
| ETHUSDT       | 0.0005621     | 0.0007247   | 0.06809      | 0.01012         | 0.01158      | 0.01123     | 64.97         | 0.05818                 | 0.03092        | 0.04182                  | 0.1143       | 1408.0  | 275999999.999 |
| XVGUSDT       | 0.001059      | 0.00135     | 0.206        | 0.1177          | 0.01713      | 0.01465     | 40.65         | 0.08088                 | 0.06554        | 0.07632                  | 0.09775      | 126.5   | 275999999.999 |
| OMGUSDT       | 0.0007063     | 0.00106     | 0.0617       | 0.02646         | 0.01172      | 0.01148     | 61.8          | 0.06063                 | 0.02801        | 0.05704                  | 0.1547       | 1224.62 | 275999999.999 |
| MINAUSDT      | 0.000815      | 0.0008784   | 0.08596      | 0.03419         | 0.00923      | 0.008402    | 31.88         | 0.05443                 | 0.03885        | 0.05217                  | 0.07466      | 274.54  | 275999999.999 |
| IDEXUSDT      | 0.0006898     | 0.0008432   | 0.1226       | 0.06238         | 0.01489      | 0.01312     | 48.2          | 0.06866                 | 0.1123         | 0.06739                  | 0.09202      | 189.5   | 275999999.999 |
| ACHUSDT       | 0.0005863     | 0.0006351   | 0.06091      | 0.01527         | 0.01421      | 0.01232     | 60.87         | 0.05909                 | 0.0806         | 0.04097                  | 0.07154      | 259.39  | 275999999.999 |
| QNTUSDT       | 0.0006298     | 0.0004189   | 0.1197       | 0.04733         | 0.01234      | 0.01056     | 53.82         | 0.05814                 | 0.1494         | 0.03977                  | 0.06315      | 384.89  | 275999999.999 |
| FLMUSDT       | 0.0009038     | 0.001121    | 0.07509      | 0.03099         | 0.02046      | 0.019       | 57.95         | 0.09221                 | 0.0911         | 0.07952                  | 0.1596       | 1135.71 | 275999999.999 |
| AXSUSDT       | 0.0006994     | 0.001011    | 0.05872      | 0.01687         | 0.01896      | 0.01744     | 87.3          | 0.08401                 | 0.07814        | 0.05644                  | 0.168        | 1083.7  | 275999999.999 |
| UMAUSDT       | 0.0008365     | 0.0007834   | 0.07071      | 0.02664         | 0.00846      | 0.008087    | 22.87         | 0.05261                 | 0.05989        | 0.0521                   | 0.05873      | 182.48  | 275999999.999 |
| ARKMUSDT      | 0.000882      | 0.0008581   | 0.0391       | 0.01432         | 0.008601     | 0.00679     | 17.37         | 0.03271                 | 0.06617        | 0.02606                  | 0.04683      | 103.88  | 275999999.999 |
| TRBUSDT       | 0.0006467     | 0.001015    | 0.04114      | 0.01469         | 0.02039      | 0.01904     | 58.55         | 0.09952                 | 0.07533        | 0.08591                  | 0.2014       | 1161.71 | 275999999.999 |
| HBARUSDT      | 0.0008801     | 0.001814    | 0.07788      | 0.02835         | 0.01193      | 0.01334     | 39.82         | 0.09836                 | 0.03433        | 0.09485                  | 0.2024       | 966.71  | 275999999.999 |
| GALUSDT       | 0.0007968     | 0.001342    | 0.1108       | 0.05576         | 0.01512      | 0.01431     | 40.45         | 0.07373                 | 0.08073        | 0.0757                   | 0.1762       | 552.41  | 275999999.999 |
| BANDUSDT      | 0.0005405     | 0.0008325   | 0.04576      | 0.01079         | 0.02263      | 0.02084     | 78.62         | 0.0988                  | 0.04923        | 0.06803                  | 0.1306       | 1197.71 | 275999999.999 |
| AGIXUSDT      | 0.0009782     | 0.0007414   | 0.06227      | 0.001318        | 0.01878      | 0.01639     | 37.27         | 0.08895                 | 0.1369         | 0.04087                  | 0.106        | 265.4   | 275999999.999 |
| DEFIUSDT      | 0.0005728     | 0.001168    | 0.08826      | 0.03139         | 0.01752      | 0.01752     | 70.4          | 0.09835                 | 0.09613        | 0.09672                  | 0.1948       | 1167.71 | 275999999.999 |
| ENJUSDT       | 0.0007594     | 0.001127    | 0.09161      | 0.03197         | 0.01876      | 0.01817     | 37.98         | 0.0999                  | 0.06745        | 0.09346                  | 0.2029       | 1135.71 | 275999999.999 |
| SNXUSDT       | 0.0006767     | 0.001362    | 0.06014      | 0.02403         | 0.01467      | 0.01746     | 43.23         | 0.09116                 | 0.03797        | 0.08278                  | 0.1693       | 1181.7  | 275999999.999 |
| IOSTUSDT      | 0.0006158     | 0.0007051   | 0.07968      | 0.02531         | 0.01662      | 0.01737     | 46.73         | 0.0987                  | 0.1113         | 0.07553                  | 0.2357       | 1356.66 | 275999999.999 |
| MTLUSDT       | 0.0008269     | 0.001073    | 0.07337      | 0.02231         | 0.02067      | 0.02664     | 53.57         | 0.0951                  | 0.06734        | 0.06867                  | 0.2038       | 952.71  | 275999999.999 |
| FETUSDT       | 0.0008009     | 0.001176    | 0.06078      | 0.01422         | 0.009418     | 0.007753    | 56.9          | 0.04191                 | 0.003986       | 0.03674                  | 0.0668       | 295.89  | 275999999.999 |
| HOTUSDT       | 0.0005597     | 0.001409    | 0.04855      | 0.01909         | 0.009062     | 0.01251     | 49.45         | 0.09603                 | 0.0569         | 0.09619                  | 0.2234       | 953.71  | 275999999.999 |
