### single symbol backtest metrics ###

update: 2023-10-01

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp           average daily gain, recent data weighted heavier
adg_per_exp             average daily gain for whole backtest
exp_rts_mean            exposure ratios mean: average wallet exposure during backtest
time_at_max_exp         ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max           how many hours in a stretch with no fills
pa_dist_mean            price action distance mean: the average distance between position price and market price
pa_dist_std             price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean mean of 1% highest pa_dist_mean
loss_profit_rt          loss to profit ratio: abs(sum(losses)) / sum(profit)
n_days                  backtest number of days
score                   used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                              long                                                                                              |
+---------------+---------------+-------------+--------------+-----------------+---------------+--------------+-------------+-------------------------+----------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | pa_dist_1pct_worst_mean | loss_profit_rt | n_days  | score         |
+---------------+---------------+-------------+--------------+-----------------+---------------+--------------+-------------+-------------------------+----------------+---------+---------------+
| WLDUSDT       | 0.003705      | 0.003361    | 0.1428       | 0.01295         | 24.98         | 0.01141      | 0.01198     | 0.07412                 | 0.05258        | 67.5    | 1297211.49629 |
| NMRUSDT       | 0.001938      | 0.002557    | 0.1178       | 0.03056         | 58.4          | 0.008457     | 0.01532     | 0.1091                  | 0.02348        | 99.5    | 1297211.49806 |
| LEVERUSDT     | 0.001894      | 0.001387    | 0.0958       | 0.000681        | 87.33         | 0.01785      | 0.01679     | 0.08328                 | 0.03711        | 183.5   | 1297211.49811 |
| 1000PEPEUSDT  | 0.001679      | 0.002991    | 0.0942       | 0.05372         | 49.88         | 0.01274      | 0.02367     | 0.1453                  | 0.0236         | 147.33  | 1297211.49832 |
| UNFIUSDT      | 0.001674      | 0.002452    | 0.1156       | 0.01957         | 89.38         | 0.01981      | 0.02167     | 0.1318                  | 0.05355        | 951.71  | 1297211.49833 |
| AMBUSDT       | 0.001609      | 0.001354    | 0.1229       | 0.02316         | 97.78         | 0.0193       | 0.02248     | 0.1231                  | 0.04881        | 183.5   | 1297211.49839 |
| MDTUSDT       | 0.001596      | 0.001918    | 0.06413      | 0.0009103       | 57.6          | 0.007644     | 0.01038     | 0.05356                 | 0.0            | 91.5    | 1297211.4984  |
| DOGEUSDT      | 0.001549      | 0.003899    | 0.1083       | 0.03109         | 138.4         | 0.009475     | 0.01892     | 0.1081                  | 0.08317        | 1176.62 | 1297211.49845 |
| ARKMUSDT      | 0.001528      | 0.002067    | 0.1095       | 0.0241          | 34.57         | 0.008762     | 0.00876     | 0.05233                 | 0.01695        | 63.92   | 1297211.49847 |
| MKRUSDT       | 0.001519      | 0.002113    | 0.1345       | 0.04657         | 79.22         | 0.01104      | 0.01665     | 0.122                   | 0.09374        | 1141.71 | 1297211.49848 |
| 1000LUNCUSDT  | 0.001497      | 0.002655    | 0.09379      | 0.02075         | 59.63         | 0.01129      | 0.02215     | 0.1178                  | 0.04578        | 385.46  | 1297211.4985  |
| WAVESUSDT     | 0.001486      | 0.002231    | 0.06172      | 0.03427         | 45.88         | 0.008682     | 0.01599     | 0.1042                  | 0.01125        | 1142.71 | 1297211.49851 |
| ALPHAUSDT     | 0.001463      | 0.00303     | 0.0942       | 0.04104         | 100.5         | 0.01449      | 0.02377     | 0.1395                  | 0.02529        | 1039.71 | 1297211.49854 |
| HBARUSDT      | 0.001431      | 0.00272     | 0.08726      | 0.02967         | 138.3         | 0.009624     | 0.01314     | 0.08896                 | 0.08143        | 926.71  | 1297211.49857 |
| ASTRUSDT      | 0.001428      | 0.001242    | 0.1149       | 0.07202         | 108.9         | 0.01487      | 0.01545     | 0.08045                 | 0.06966        | 227.92  | 1297211.49857 |
| SOLUSDT       | 0.001421      | 0.00245     | 0.05714      | 0.02527         | 71.65         | 0.01068      | 0.01942     | 0.1315                  | 0.04837        | 1109.71 | 1297211.49858 |
| NKNUSDT       | 0.001369      | 0.002536    | 0.1137       | 0.02997         | 86.22         | 0.01589      | 0.02214     | 0.1494                  | 0.03054        | 903.71  | 1297211.49863 |
| FETUSDT       | 0.001294      | 0.00223     | 0.09821      | 0.04998         | 77.98         | 0.01242      | 0.02174     | 0.1229                  | 0.03047        | 255.92  | 1297211.49871 |
| XRPUSDT       | 0.001276      | 0.002576    | 0.1207       | 0.02495         | 134.0         | 0.009886     | 0.01753     | 0.1432                  | 0.08258        | 1362.67 | 1297211.49872 |
| CELRUSDT      | 0.001267      | 0.002622    | 0.101        | 0.03434         | 107.1         | 0.01421      | 0.01943     | 0.1255                  | 0.03808        | 914.71  | 1297211.49873 |
| OMGUSDT       | 0.001254      | 0.002328    | 0.1166       | 0.06025         | 70.35         | 0.01388      | 0.02137     | 0.1482                  | 0.04157        | 1184.62 | 1297211.49875 |
| YGGUSDT       | 0.001254      | 0.003197    | 0.1046       | 0.0462          | 45.88         | 0.01292      | 0.01508     | 0.09838                 | 0.0149         | 55.88   | 1297211.49875 |
| COTIUSDT      | 0.001213      | 0.002614    | 0.1149       | 0.0689          | 81.87         | 0.01524      | 0.02391     | 0.1498                  | 0.07805        | 933.71  | 1297211.49879 |
| XVSUSDT       | 0.001155      | 0.00096     | 0.1017       | 0.01618         | 78.57         | 0.01462      | 0.01973     | 0.119                   | 0.07705        | 169.92  | 1297211.49884 |
| RVNUSDT       | 0.001161      | 0.002456    | 0.09262      | 0.03781         | 138.2         | 0.01213      | 0.01727     | 0.1042                  | 0.06275        | 947.71  | 1297211.49884 |
| ALGOUSDT      | 0.001149      | 0.002386    | 0.09496      | 0.0491          | 132.4         | 0.01469      | 0.02095     | 0.1385                  | 0.06743        | 1200.62 | 1297211.49885 |
| MANAUSDT      | 0.00114       | 0.002941    | 0.09041      | 0.04841         | 49.88         | 0.01118      | 0.02386     | 0.1441                  | 0.02368        | 928.71  | 1297211.49886 |
| OCEANUSDT     | 0.001136      | 0.001969    | 0.08931      | 0.02634         | 132.3         | 0.01968      | 0.02378     | 0.138                   | 0.03549        | 1059.71 | 1297211.49886 |
| SKLUSDT       | 0.001135      | 0.002554    | 0.0905       | 0.04965         | 96.1          | 0.01664      | 0.02236     | 0.1493                  | 0.06127        | 1024.71 | 1297211.49886 |
| SNXUSDT       | 0.001127      | 0.001984    | 0.09703      | 0.0175          | 123.9         | 0.0184       | 0.02114     | 0.1307                  | 0.02768        | 1140.71 | 1297211.49887 |
| ATOMUSDT      | 0.001135      | 0.002744    | 0.07643      | 0.0284          | 102.5         | 0.009744     | 0.02801     | 0.1408                  | 0.01747        | 1330.5  | 1297211.49887 |
| AGLDUSDT      | 0.001124      | 0.0008322   | 0.05568      | 0.02316         | 80.03         | 0.01845      | 0.01491     | 0.06243                 | 0.0233         | 62.92   | 1297211.49888 |
| 1INCHUSDT     | 0.001112      | 0.001725    | 0.06916      | 0.03891         | 120.0         | 0.01625      | 0.02081     | 0.1342                  | 0.04274        | 1007.58 | 1297211.49889 |
| DOTUSDT       | 0.001097      | 0.002884    | 0.1456       | 0.08692         | 98.27         | 0.01172      | 0.02152     | 0.1296                  | 0.03718        | 1132.71 | 1297211.4989  |
| LRCUSDT       | 0.001079      | 0.002658    | 0.09144      | 0.04858         | 71.2          | 0.01265      | 0.02118     | 0.14                    | 0.02198        | 1074.71 | 1297211.49892 |
| GRTUSDT       | 0.001078      | 0.00204     | 0.09705      | 0.004644        | 142.6         | 0.01938      | 0.02476     | 0.1473                  | 0.08125        | 1013.71 | 1297211.49892 |
| BELUSDT       | 0.00108       | 0.001961    | 0.07562      | 0.02772         | 65.62         | 0.01299      | 0.02098     | 0.1449                  | 0.04693        | 1044.71 | 1297211.49892 |
| DGBUSDT       | 0.001082      | 0.001916    | 0.1337       | 0.02616         | 120.9         | 0.01743      | 0.0257      | 0.1483                  | 0.08977        | 891.88  | 1297211.49892 |
| PHBUSDT       | 0.001068      | 0.00127     | 0.1297       | 0.08852         | 38.12         | 0.01392      | 0.01954     | 0.1355                  | 0.04064        | 225.42  | 1297211.49893 |
| ICPUSDT       | 0.001075      | 0.001456    | 0.08636      | 0.02729         | 110.3         | 0.007273     | 0.007366    | 0.04362                 | 0.06567        | 367.92  | 1297211.49893 |
| MAVUSDT       | 0.001062      | 0.001752    | 0.1079       | 0.04052         | 74.1          | 0.01378      | 0.01535     | 0.07441                 | 0.01952        | 92.5    | 1297211.49894 |
| COMBOUSDT     | 0.001063      | 0.001578    | 0.06252      | 0.03346         | 35.95         | 0.008767     | 0.01747     | 0.1304                  | 0.02478        | 119.5   | 1297211.49894 |
| RLCUSDT       | 0.00105       | 0.0019      | 0.0809       | 0.0163          | 112.0         | 0.01767      | 0.023       | 0.1486                  | 0.02769        | 1155.71 | 1297211.49895 |
| RNDRUSDT      | 0.001054      | 0.002348    | 0.07291      | 0.01412         | 55.1          | 0.009262     | 0.01277     | 0.08138                 | 0.01487        | 238.92  | 1297211.49895 |
| SUSHIUSDT     | 0.001037      | 0.002772    | 0.07855      | 0.03595         | 67.6          | 0.01141      | 0.01731     | 0.1433                  | 0.01989        | 1119.71 | 1297211.49896 |
| RDNTUSDT      | 0.00103       | 0.001614    | 0.1045       | 0.06172         | 68.68         | 0.01091      | 0.01953     | 0.1073                  | 0.02433        | 177.5   | 1297211.49897 |
| STMXUSDT      | 0.001033      | 0.001275    | 0.08399      | 0.02563         | 139.5         | 0.01942      | 0.02559     | 0.1491                  | 0.0314         | 921.71  | 1297211.49897 |
| INJUSDT       | 0.001014      | 0.001613    | 0.1128       | 0.04534         | 114.7         | 0.01531      | 0.01653     | 0.08818                 | 0.06771        | 408.92  | 1297211.49899 |
| COMPUSDT      | 0.0009967     | 0.001476    | 0.08497      | 0.01492         | 138.7         | 0.01975      | 0.02116     | 0.1163                  | 0.03413        | 1186.62 | 1297211.499   |
| SPELLUSDT     | 0.0009939     | 0.001154    | 0.07456      | 0.01587         | 83.05         | 0.008178     | 0.009507    | 0.05399                 | 0.01035        | 388.5   | 1297211.49901 |
| CTKUSDT       | 0.0009934     | 0.002414    | 0.1115       | 0.04822         | 133.9         | 0.01553      | 0.02155     | 0.1471                  | 0.03338        | 1043.71 | 1297211.49901 |
| TOMOUSDT      | 0.0009833     | 0.001351    | 0.06966      | 0.01795         | 134.9         | 0.01628      | 0.01946     | 0.1447                  | 0.07789        | 1081.71 | 1297211.49902 |
| EGLDUSDT      | 0.0009792     | 0.002432    | 0.1101       | 0.05823         | 85.27         | 0.01442      | 0.02573     | 0.1475                  | 0.04586        | 1109.71 | 1297211.49902 |
| CHRUSDT       | 0.0009779     | 0.002401    | 0.108        | 0.04682         | 118.8         | 0.01628      | 0.01538     | 0.09532                 | 0.02139        | 931.71  | 1297211.49902 |
| HOOKUSDT      | 0.0009781     | 0.001566    | 0.06401      | 0.01684         | 57.4          | 0.01025      | 0.01161     | 0.08043                 | 0.06803        | 249.88  | 1297211.49902 |
| XVGUSDT       | 0.0009685     | 0.002189    | 0.1428       | 0.07126         | 40.32         | 0.0134       | 0.01619     | 0.08854                 | 0.02867        | 86.5    | 1297211.49903 |
| STXUSDT       | 0.0009698     | 0.001733    | 0.09047      | 0.03024         | 91.22         | 0.01232      | 0.01717     | 0.1269                  | 0.03193        | 220.42  | 1297211.49903 |
| RADUSDT       | 0.0009618     | 0.001284    | 0.09755      | 0.02894         | 46.68         | 0.008503     | 0.01546     | 0.09053                 | 0.09279        | 142.5   | 1297211.49904 |
| OPUSDT        | 0.0009462     | 0.001729    | 0.07751      | 0.02068         | 72.12         | 0.01159      | 0.01722     | 0.1041                  | 0.06443        | 485.42  | 1297211.49905 |
| HOTUSDT       | 0.0009382     | 0.002346    | 0.09404      | 0.03867         | 119.0         | 0.01376      | 0.02561     | 0.1492                  | 0.04749        | 913.71  | 1297211.49906 |
| ANKRUSDT      | 0.0009433     | 0.00182     | 0.06444      | 0.02246         | 124.8         | 0.01038      | 0.01845     | 0.1397                  | 0.06955        | 975.71  | 1297211.49906 |
| REEFUSDT      | 0.0009405     | 0.001925    | 0.1261       | 0.04286         | 132.0         | 0.01885      | 0.02462     | 0.1379                  | 0.07878        | 948.71  | 1297211.49906 |
| AVAXUSDT      | 0.0009309     | 0.002353    | 0.09378      | 0.03236         | 116.2         | 0.01551      | 0.02128     | 0.134                   | 0.03346        | 1100.71 | 1297211.49907 |
| LINKUSDT      | 0.0009282     | 0.002525    | 0.1052       | 0.04867         | 103.0         | 0.01172      | 0.01601     | 0.1217                  | 0.07376        | 1351.67 | 1297211.49907 |
| OGNUSDT       | 0.0009166     | 0.00172     | 0.07463      | 0.008409        | 143.2         | 0.01861      | 0.0197      | 0.1149                  | 0.05649        | 911.71  | 1297211.49908 |
| HFTUSDT       | 0.0009085     | 0.001168    | 0.07826      | 0.01841         | 127.0         | 0.01065      | 0.01504     | 0.09426                 | 0.01339        | 176.5   | 1297211.49909 |
