### single symbol backtest metrics ###

update: 2023-09-11

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp           average daily gain, recent data weighted heavier
adg_per_exp             average daily gain for whole backtest
exp_rts_mean            exposure ratios mean: average wallet exposure during backtest
time_at_max_exp         ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max           how many hours in a stretch with no fills
pa_dist_mean            price action distance mean: the average distance between position price and market price
pa_dist_std             price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean mean of 1% highest pa_dist_mean
loss_profit_rt          loss to profit ratio: abs(sum(losses)) / sum(profit)
n_days                  backtest number of days
score                   used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                              long                                                                                              |
+---------------+---------------+-------------+--------------+-----------------+---------------+--------------+-------------+-------------------------+----------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | pa_dist_1pct_worst_mean | loss_profit_rt | n_days  | score         |
+---------------+---------------+-------------+--------------+-----------------+---------------+--------------+-------------+-------------------------+----------------+---------+---------------+
| SUIUSDT       | 0.002447      | 0.002559    | 0.07995      | 0.05058         | 34.52         | 0.009124     | 0.01339     | 0.1221                  | 0.03678        | 129.29  | 1297211.49755 |
| 1000PEPEUSDT  | 0.002324      | 0.003604    | 0.1085       | 0.07101         | 57.63         | 0.01776      | 0.0239      | 0.1385                  | 0.01585        | 127.29  | 1297211.49768 |
| SOLUSDT       | 0.00227       | 0.003551    | 0.07365      | 0.04836         | 63.48         | 0.01257      | 0.01961     | 0.1255                  | 0.01996        | 1091.67 | 1297211.49773 |
| LEVERUSDT     | 0.002137      | 0.001471    | 0.1379       | 0.05454         | 81.62         | 0.01341      | 0.01376     | 0.08354                 | 0.08309        | 163.46  | 1297211.49786 |
| STXUSDT       | 0.002048      | 0.001783    | 0.03665      | 0.01206         | 92.6          | 0.01183      | 0.01165     | 0.07159                 | 0.003386       | 200.38  | 1297211.49795 |
| HBARUSDT      | 0.001971      | 0.003268    | 0.1013       | 0.05758         | 141.4         | 0.01148      | 0.01877     | 0.1266                  | 0.06826        | 906.67  | 1297211.49803 |
| AMBUSDT       | 0.001827      | 0.00168     | 0.1213       | 0.03823         | 86.85         | 0.01971      | 0.02234     | 0.1405                  | 0.02491        | 163.46  | 1297211.49817 |
| MKRUSDT       | 0.00166       | 0.002189    | 0.1091       | 0.03645         | 79.42         | 0.0116       | 0.01651     | 0.1309                  | 0.07034        | 1123.67 | 1297211.49834 |
| NKNUSDT       | 0.001661      | 0.002991    | 0.1175       | 0.03051         | 116.5         | 0.01554      | 0.02055     | 0.1392                  | 0.03676        | 883.67  | 1297211.49834 |
| UNFIUSDT      | 0.001648      | 0.002552    | 0.09486      | 0.01586         | 118.8         | 0.01889      | 0.01939     | 0.136                   | 0.01701        | 932.67  | 1297211.49835 |
| 1000LUNCUSDT  | 0.001573      | 0.002371    | 0.07969      | 0.007411        | 140.0         | 0.01063      | 0.01177     | 0.08233                 | 0.02412        | 365.42  | 1297211.49843 |
| GRTUSDT       | 0.00156       | 0.003402    | 0.09295      | 0.03519         | 120.6         | 0.01347      | 0.02044     | 0.1368                  | 0.03722        | 994.67  | 1297211.49844 |
| WAVESUSDT     | 0.001559      | 0.001838    | 0.04965      | 0.0313          | 81.62         | 0.01345      | 0.01934     | 0.1369                  | 0.01697        | 1124.67 | 1297211.49844 |
| CHZUSDT       | 0.001541      | 0.002381    | 0.04148      | 0.02734         | 143.9         | 0.01003      | 0.01837     | 0.1148                  | 0.03664        | 961.67  | 1297211.49846 |
| TOMOUSDT      | 0.001534      | 0.001873    | 0.07208      | 0.02049         | 129.2         | 0.018        | 0.01955     | 0.1486                  | 0.02059        | 1063.67 | 1297211.49847 |
| ASTRUSDT      | 0.001523      | 0.001518    | 0.06284      | 0.01363         | 58.17         | 0.01103      | 0.008043    | 0.0412                  | 0.004006       | 207.88  | 1297211.49848 |
| GMXUSDT       | 0.001505      | 0.001027    | 0.1118       | 0.08581         | 56.92         | 0.01198      | 0.01352     | 0.08105                 | 0.04561        | 204.38  | 1297211.49849 |
| FETUSDT       | 0.001499      | 0.002045    | 0.09583      | 0.04663         | 74.05         | 0.01262      | 0.01501     | 0.105                   | 0.04391        | 235.88  | 1297211.4985  |
