### single symbol backtest metrics ###

update: 2023-11-10

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp            average daily gain, recent data weighted heavier
adg_per_exp              average daily gain for whole backtest
exp_rts_mean             exposure ratios mean: average wallet exposure during backtest
time_at_max_exp          ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max            how many hours in a stretch with no fills
pa_dist_mean             price action distance mean: the average distance between position price and market price
pa_dist_std              price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean  mean of 1% highest pa_dist_mean
loss_profit_rt           loss to profit ratio: abs(sum(losses)) / sum(profit)
drawdown_max             max drawdown
drawdown_1pct_worst_mean mean of 1% worst drawdowns from hourly samples
sharpe_ratio             sharpe ratio (excluding risk free return) from daily samples
n_days                   backtest number of days
score                    used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                   long                                                                                                                   |
+---------------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | pa_dist_mean | pa_dist_std | hrs_stuck_max | pa_dist_1pct_worst_mean | loss_profit_rt | drawdown_1pct_worst_mean | drawdown_max | n_days  | score         |
+---------------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| ARKMUSDT      | 0.001654      | 0.001916    | 0.0377       | 0.02509         | 0.007199     | 0.007627    | 22.52         | 0.05729                 | 0.01012        | 0.05454                  | 0.07133      | 103.88  | 275999999.998 |
| 1000FLOKIUSDT | 0.001608      | 0.0008037   | 0.05858      | 0.01777         | 0.01847      | 0.0127      | 119.8         | 0.09925                 | 0.1223         | 0.09834                  | 0.1478       | 186.29  | 275999999.998 |
| AGLDUSDT      | 0.001738      | 0.001202    | 0.02212      | 0.004615        | 0.01736      | 0.01534     | 143.5         | 0.0787                  | 0.0            | 0.01523                  | 0.03306      | 102.88  | 275999999.998 |
| BLURUSDT      | 0.0016        | 0.001218    | 0.05269      | 0.01675         | 0.01175      | 0.007775    | 107.9         | 0.04341                 | 0.006323       | 0.04037                  | 0.1042       | 194.46  | 275999999.998 |
| WLDUSDT       | 0.001648      | 0.002259    | 0.07991      | 0.03783         | 0.009636     | 0.00826     | 32.5          | 0.04802                 | 0.01519        | 0.04554                  | 0.05833      | 107.46  | 275999999.998 |
| SOLUSDT       | 0.001605      | 0.003137    | 0.05932      | 0.03462         | 0.01252      | 0.01534     | 128.0         | 0.07416                 | 0.1188         | 0.07993                  | 0.1635       | 1150.67 | 275999999.998 |
| LQTYUSDT      | 0.002129      | 0.001892    | 0.08089      | 0.0406          | 0.01386      | 0.01249     | 53.35         | 0.09916                 | 0.03861        | 0.09063                  | 0.1512       | 243.46  | 275999999.998 |
| CRVUSDT       | 0.0006768     | 0.001561    | 0.04641      | 0.02004         | 0.01478      | 0.01502     | 106.3         | 0.08927                 | 0.06654        | 0.08377                  | 0.248        | 1163.67 | 275999999.999 |
| XEMUSDT       | 0.0006816     | 0.00165     | 0.0505       | 0.0243          | 0.01236      | 0.01383     | 139.1         | 0.08264                 | 0.009034       | 0.07448                  | 0.1766       | 980.67  | 275999999.999 |
| AAVEUSDT      | 0.001005      | 0.002381    | 0.05721      | 0.02641         | 0.01318      | 0.01337     | 108.9         | 0.0848                  | 0.01745        | 0.07817                  | 0.2187       | 1118.67 | 275999999.999 |
| EGLDUSDT      | 0.0006276     | 0.001611    | 0.05641      | 0.01572         | 0.0165       | 0.01288     | 143.9         | 0.04804                 | 0.06346        | 0.02846                  | 0.1101       | 1150.67 | 275999999.999 |
| ETHUSDT       | 0.0005248     | 0.001587    | 0.04671      | 0.03451         | 0.007731     | 0.01049     | 70.3          | 0.06428                 | 0.01253        | 0.06259                  | 0.1186       | 1407.96 | 275999999.999 |
| LRCUSDT       | 0.0006011     | 0.001609    | 0.06467      | 0.02841         | 0.01194      | 0.01262     | 84.47         | 0.0964                  | 0.0257         | 0.09366                  | 0.2309       | 1115.67 | 275999999.999 |
| XVGUSDT       | 0.001407      | 0.001963    | 0.1089       | 0.09284         | 0.01055      | 0.01033     | 34.05         | 0.0647                  | 0.02197        | 0.06144                  | 0.0906       | 126.46  | 275999999.999 |
| OMGUSDT       | 0.0008715     | 0.001707    | 0.0609       | 0.01611         | 0.01333      | 0.01266     | 125.3         | 0.07971                 | 0.09189        | 0.08264                  | 0.2137       | 1224.58 | 275999999.999 |
| MINAUSDT      | 0.000867      | 0.001021    | 0.0684       | 0.03036         | 0.01129      | 0.01069     | 143.8         | 0.07703                 | 0.06319        | 0.07292                  | 0.1228       | 274.5   | 275999999.999 |
| IDEXUSDT      | 0.0006284     | 0.0006822   | 0.05837      | 0.01224         | 0.01292      | 0.01184     | 111.8         | 0.09514                 | 0.03437        | 0.08713                  | 0.1178       | 189.46  | 275999999.999 |
| ACHUSDT       | 0.0005451     | 0.0007952   | 0.04996      | 0.01594         | 0.01596      | 0.01287     | 112.7         | 0.088                   | 0.08831        | 0.07861                  | 0.1113       | 259.38  | 275999999.999 |
| QNTUSDT       | 0.0005158     | 0.0009634   | 0.06468      | 0.03389         | 0.00871      | 0.008644    | 108.4         | 0.07451                 | 0.04914        | 0.08074                  | 0.1037       | 384.88  | 275999999.999 |
| AXSUSDT       | 0.0005233     | 0.001781    | 0.0266       | 0.01136         | 0.0151       | 0.01368     | 94.25         | 0.04943                 | 0.04664        | 0.02085                  | 0.1084       | 1083.67 | 275999999.999 |
| UMAUSDT       | 0.0009032     | 0.0007933   | 0.06663      | 0.01509         | 0.008704     | 0.008126    | 65.73         | 0.06677                 | 0.01044        | 0.05923                  | 0.1231       | 182.46  | 275999999.999 |
| QTUMUSDT      | 0.000586      | 0.001159    | 0.0708       | 0.01185         | 0.01699      | 0.01475     | 117.3         | 0.09903                 | 0.02856        | 0.08721                  | 0.2477       | 1357.62 | 275999999.999 |
| RSRUSDT       | 0.0008021     | 0.001541    | 0.06303      | 0.01079         | 0.01844      | 0.01639     | 139.9         | 0.09933                 | 0.06928        | 0.08792                  | 0.1726       | 1115.67 | 275999999.999 |
| HBARUSDT      | 0.001263      | 0.001793    | 0.03743      | 0.02832         | 0.008313     | 0.01265     | 52.38         | 0.09217                 | 0.05686        | 0.09943                  | 0.1888       | 966.67  | 275999999.999 |
| BANDUSDT      | 0.0008424     | 0.00197     | 0.05737      | 0.01664         | 0.01663      | 0.01374     | 110.5         | 0.07556                 | 0.06855        | 0.0725                   | 0.1896       | 1197.67 | 275999999.999 |
| AGIXUSDT      | 0.0006748     | 0.001055    | 0.05981      | 0.01436         | 0.01448      | 0.01182     | 122.7         | 0.09137                 | 0.1314         | 0.09624                  | 0.1179       | 265.38  | 275999999.999 |
| ETCUSDT       | 0.0008029     | 0.001854    | 0.02597      | 0.01079         | 0.006699     | 0.00663     | 61.97         | 0.04788                 | 0.02883        | 0.04836                  | 0.13         | 1392.62 | 275999999.999 |
| DEFIUSDT      | 0.0006421     | 0.001614    | 0.06872      | 0.02473         | 0.01065      | 0.01235     | 127.2         | 0.09018                 | 0.02928        | 0.08206                  | 0.207        | 1167.67 | 275999999.999 |
| ENJUSDT       | 0.0007282     | 0.001789    | 0.06454      | 0.02674         | 0.01392      | 0.01696     | 120.7         | 0.08316                 | 0.009893       | 0.07355                  | 0.243        | 1135.67 | 275999999.999 |
| SNXUSDT       | 0.0008076     | 0.001662    | 0.08301      | 0.01722         | 0.01937      | 0.0157      | 129.2         | 0.09635                 | 0.0109         | 0.07861                  | 0.1773       | 1181.67 | 275999999.999 |
| IOSTUSDT      | 0.0006003     | 0.001438    | 0.06018      | 0.01687         | 0.01415      | 0.01543     | 143.3         | 0.0992                  | 0.0372         | 0.08654                  | 0.2318       | 1356.62 | 275999999.999 |
| MTLUSDT       | 0.0006836     | 0.001187    | 0.05299      | 0.01367         | 0.01657      | 0.01646     | 128.6         | 0.09609                 | 0.0377         | 0.08348                  | 0.2365       | 952.67  | 275999999.999 |
| FETUSDT       | 0.001486      | 0.001138    | 0.03902      | 0.02138         | 0.01205      | 0.009448    | 56.5          | 0.06015                 | 0.04701        | 0.05606                  | 0.1308       | 295.88  | 275999999.999 |
| HOTUSDT       | 0.001123      | 0.003037    | 0.0669       | 0.03637         | 0.008218     | 0.009577    | 107.0         | 0.07247                 | 0.04063        | 0.07956                  | 0.161        | 953.67  | 275999999.999 |
| 1000SHIBUSDT  | 0.0008669     | 0.002564    | 0.05532      | 0.005207        | 0.01095      | 0.008279    | 90.65         | 0.05199                 | 0.005475       | 0.04046                  | 0.2206       | 912.25  | 275999999.999 |
| ZENUSDT       | 0.0006382     | 0.001573    | 0.05162      | 0.005321        | 0.01778      | 0.01323     | 141.1         | 0.06535                 | 0.0329         | 0.04628                  | 0.127        | 1079.67 | 275999999.999 |
| SPELLUSDT     | 0.0009666     | 0.001083    | 0.08475      | 0.02381         | 0.009383     | 0.009223    | 100.0         | 0.07211                 | 0.02379        | 0.0678                   | 0.1188       | 428.46  | 275999999.999 |
| OGNUSDT       | 0.0006684     | 0.001629    | 0.04389      | 0.009766        | 0.01837      | 0.0178      | 132.5         | 0.0953                  | 0.02273        | 0.04006                  | 0.1756       | 951.67  | 275999999.999 |
| SUSHIUSDT     | 0.0007393     | 0.00163     | 0.03444      | 0.02015         | 0.01534      | 0.01585     | 88.15         | 0.09846                 | 0.04496        | 0.09957                  | 0.1528       | 1160.67 | 275999999.999 |
| CELOUSDT      | 0.0005331     | 0.0008789   | 0.05322      | 0.01673         | 0.01381      | 0.01235     | 126.8         | 0.08157                 | 0.09738        | 0.08311                  | 0.13         | 772.83  | 275999999.999 |
| BNBUSDT       | 0.0005659     | 0.001798    | 0.03292      | 0.01924         | 0.006364     | 0.008269    | 129.0         | 0.03976                 | 0.0244         | 0.03816                  | 0.1105       | 1367.62 | 275999999.999 |
| NEARUSDT      | 0.0008662     | 0.001729    | 0.05339      | 0.04016         | 0.009786     | 0.01495     | 78.73         | 0.08313                 | 0.09488        | 0.08349                  | 0.173        | 1119.62 | 275999999.999 |
| APEUSDT       | 0.0007998     | 0.001565    | 0.04802      | 0.02505         | 0.01122      | 0.01243     | 105.7         | 0.09908                 | 0.008275       | 0.08871                  | 0.1888       | 601.33  | 275999999.999 |
| EDUUSDT       | 0.0006772     | 0.0008702   | 0.03751      | 0.01087         | 0.01846      | 0.01214     | 97.97         | 0.05801                 | 0.0223         | 0.04046                  | 0.08221      | 192.46  | 275999999.999 |
| ADAUSDT       | 0.0008255     | 0.001615    | 0.04874      | 0.03963         | 0.008102     | 0.01374     | 75.32         | 0.08929                 | 0.05001        | 0.09427                  | 0.2286       | 1377.62 | 275999999.999 |
| API3USDT      | 0.0005673     | 0.001085    | 0.04518      | 0.02583         | 0.01001      | 0.008215    | 74.45         | 0.04524                 | 0.05011        | 0.04305                  | 0.09065      | 624.83  | 275999999.999 |
| GRTUSDT       | 0.0006235     | 0.00149     | 0.05548      | 0.006656        | 0.01446      | 0.01272     | 142.1         | 0.0805                  | 0.05401        | 0.07247                  | 0.2014       | 1054.67 | 275999999.999 |
| AMBUSDT       | 0.001105      | 0.00114     | 0.08012      | 0.009115        | 0.01927      | 0.01408     | 77.52         | 0.08337                 | 0.02956        | 0.06686                  | 0.1642       | 223.46  | 275999999.999 |
| BELUSDT       | 0.0007594     | 0.001577    | 0.05199      | 0.01167         | 0.01551      | 0.01296     | 127.9         | 0.07882                 | 0.03061        | 0.07313                  | 0.172        | 1085.67 | 275999999.999 |
| CELRUSDT      | 0.0008623     | 0.002087    | 0.08355      | 0.03646         | 0.0136       | 0.01454     | 133.7         | 0.09745                 | 0.05711        | 0.09092                  | 0.2271       | 954.67  | 275999999.999 |
| HFTUSDT       | 0.001109      | 0.0009164   | 0.04894      | 0.01775         | 0.0106       | 0.01007     | 93.87         | 0.07786                 | 0.02225        | 0.07224                  | 0.1091       | 216.46  | 275999999.999 |
| MAVUSDT       | 0.001401      | 0.001426    | 0.06247      | 0.005094        | 0.01623      | 0.01204     | 84.73         | 0.0466                  | 0.003099       | 0.02876                  | 0.05089      | 132.46  | 275999999.999 |
| BALUSDT       | 0.0005262     | 0.001124    | 0.02774      | 0.01005         | 0.01277      | 0.01126     | 142.8         | 0.05214                 | 0.01969        | 0.03708                  | 0.2277       | 1163.67 | 275999999.999 |
| YFIUSDT       | 0.001137      | 0.003406    | 0.05407      | 0.02343         | 0.01012      | 0.01285     | 101.6         | 0.04689                 | 0.05237        | 0.04379                  | 0.2283       | 1164.67 | 275999999.999 |
| OCEANUSDT     | 0.0009813     | 0.001698    | 0.0658       | 0.01159         | 0.01691      | 0.01467     | 134.2         | 0.07088                 | 0.123          | 0.0798                   | 0.1762       | 1100.67 | 275999999.999 |
| BLZUSDT       | 0.0006878     | 0.0009903   | 0.04508      | 0.005954        | 0.01714      | 0.01631     | 122.8         | 0.09783                 | 0.08705        | 0.08706                  | 0.1981       | 1147.67 | 275999999.999 |
| SANDUSDT      | 0.0006805     | 0.002002    | 0.03936      | 0.01514         | 0.008763     | 0.01041     | 129.7         | 0.06428                 | 0.01671        | 0.05843                  | 0.1711       | 1017.67 | 275999999.999 |
| AVAXUSDT      | 0.0005888     | 0.001776    | 0.08764      | 0.05609         | 0.02278      | 0.03759     | 109.7         | 0.08354                 | 0.08583        | 0.07786                  | 0.215        | 1141.67 | 275999999.999 |
| SFPUSDT       | 0.0007793     | 0.002097    | 0.04231      | 0.02217         | 0.01319      | 0.01387     | 135.5         | 0.082                   | 0.009336       | 0.07555                  | 0.195        | 987.67  | 275999999.999 |
| ONEUSDT       | 0.0005273     | 0.001556    | 0.05634      | 0.01133         | 0.01679      | 0.01318     | 135.5         | 0.07999                 | 0.02815        | 0.0661                   | 0.1878       | 965.67  | 275999999.999 |
| LINAUSDT      | 0.0008498     | 0.001518    | 0.04337      | 0.01852         | 0.01823      | 0.01404     | 95.48         | 0.08036                 | 0.0162         | 0.07033                  | 0.2333       | 964.67  | 275999999.999 |
| 1000LUNCUSDT  | 0.000887      | 0.001695    | 0.04512      | 0.008253        | 0.007662     | 0.007523    | 48.57         | 0.06095                 | 0.002779       | 0.05235                  | 0.1417       | 425.42  | 275999999.999 |
| PHBUSDT       | 0.0007948     | 0.001025    | 0.07528      | 0.01339         | 0.01374      | 0.01154     | 96.33         | 0.07683                 | 0.04168        | 0.07159                  | 0.1211       | 265.38  | 275999999.999 |
| DOGEUSDT      | 0.001166      | 0.002963    | 0.07229      | 0.02478         | 0.01087      | 0.009957    | 106.5         | 0.0745                  | 0.06391        | 0.0894                   | 0.2252       | 1216.58 | 275999999.999 |
| BNXUSDT       | 0.00052       | 0.0007437   | 0.04763      | 0.0             | 0.01659      | 0.01281     | 111.1         | 0.07076                 | 0.02143        | 0.03123                  | 0.04226      | 259.38  | 275999999.999 |
| IMXUSDT       | 0.0007624     | 0.001489    | 0.06042      | 0.006387        | 0.008218     | 0.01089     | 94.5          | 0.06521                 | 0.1184         | 0.06062                  | 0.1127       | 635.83  | 275999999.999 |
| 1INCHUSDT     | 0.0007498     | 0.001839    | 0.04766      | 0.01645         | 0.0128       | 0.0131      | 136.4         | 0.07012                 | 0.05926        | 0.06277                  | 0.143        | 1048.54 | 275999999.999 |
| LITUSDT       | 0.0006803     | 0.001428    | 0.03967      | 0.01809         | 0.01474      | 0.01351     | 118.7         | 0.07111                 | 0.004772       | 0.06223                  | 0.1973       | 993.67  | 275999999.999 |
| MATICUSDT     | 0.001265      | 0.003477    | 0.0501       | 0.02033         | 0.009624     | 0.01014     | 91.1          | 0.06845                 | 0.009894       | 0.06396                  | 0.1345       | 1112.67 | 275999999.999 |
| LDOUSDT       | 0.0006189     | 0.001287    | 0.06557      | 0.01972         | 0.01368      | 0.01358     | 93.1          | 0.09855                 | 0.04243        | 0.09391                  | 0.1473       | 412.46  | 275999999.999 |
| RLCUSDT       | 0.001194      | 0.003205    | 0.06293      | 0.03311         | 0.01341      | 0.01459     | 111.2         | 0.09488                 | 0.0108         | 0.0876                   | 0.2096       | 1195.67 | 275999999.999 |
| VETUSDT       | 0.0005629     | 0.001642    | 0.03533      | 0.006621        | 0.009252     | 0.01032     | 104.2         | 0.05507                 | 0.01458        | 0.03894                  | 0.2135       | 1363.62 | 275999999.999 |
| XVSUSDT       | 0.001159      | 0.0007705   | 0.06648      | 0.02032         | 0.01755      | 0.01287     | 96.7          | 0.08486                 | 0.03064        | 0.0762                   | 0.1272       | 209.88  | 275999999.999 |
| SXPUSDT       | 0.0007277     | 0.002465    | 0.03344      | 0.0175          | 0.01088      | 0.01174     | 80.73         | 0.0625                  | 0.01114        | 0.05695                  | 0.1544       | 1205.58 | 275999999.999 |
| ANKRUSDT      | 0.0009376     | 0.001308    | 0.03614      | 0.01561         | 0.01008      | 0.0113      | 121.8         | 0.07648                 | 0.02963        | 0.07292                  | 0.2297       | 1015.67 | 275999999.999 |
| PENDLEUSDT    | 0.0009901     | 0.0009186   | 0.04594      | 0.001162        | 0.01349      | 0.01025     | 73.38         | 0.04196                 | 0.001732       | 0.01447                  | 0.04732      | 103.88  | 275999999.999 |
| KEYUSDT       | 0.001179      | 0.001241    | 0.02911      | 0.003436        | 0.01306      | 0.01019     | 74.15         | 0.06369                 | 0.006407       | 0.02731                  | 0.1257       | 168.46  | 275999999.999 |
| GALAUSDT      | 0.0007448     | 0.001229    | 0.05989      | 0.03698         | 0.01126      | 0.01157     | 94.78         | 0.08166                 | 0.08711        | 0.09923                  | 0.1298       | 781.83  | 275999999.999 |
| RUNEUSDT      | 0.000816      | 0.002487    | 0.05478      | 0.01969         | 0.01621      | 0.01539     | 143.2         | 0.09743                 | 0.05003        | 0.0915                   | 0.2286       | 1160.67 | 275999999.999 |
| CFXUSDT       | 0.0006805     | 0.0009454   | 0.06803      | 0.02784         | 0.01823      | 0.01275     | 122.7         | 0.08395                 | 0.09638        | 0.08142                  | 0.1098       | 261.38  | 275999999.999 |
| DOTUSDT       | 0.0005122     | 0.001444    | 0.05049      | 0.01913         | 0.01125      | 0.01334     | 134.1         | 0.07245                 | 0.01895        | 0.06149                  | 0.2473       | 1173.67 | 275999999.999 |
| INJUSDT       | 0.001363      | 0.001884    | 0.08986      | 0.03651         | 0.01262      | 0.01059     | 110.3         | 0.08845                 | 0.1271         | 0.09725                  | 0.1377       | 448.88  | 275999999.999 |
| ALGOUSDT      | 0.0008505     | 0.00197     | 0.05519      | 0.02176         | 0.0129       | 0.014       | 128.5         | 0.09025                 | 0.01585        | 0.08314                  | 0.1761       | 1240.58 | 275999999.999 |
| COTIUSDT      | 0.0007935     | 0.001877    | 0.06489      | 0.02982         | 0.0164       | 0.01422     | 129.6         | 0.09643                 | 0.07091        | 0.0902                   | 0.2438       | 973.67  | 275999999.999 |
| RADUSDT       | 0.001265      | 0.001155    | 0.08762      | 0.04877         | 0.009102     | 0.0095      | 81.17         | 0.0822                  | 0.05208        | 0.07698                  | 0.118        | 182.46  | 275999999.999 |
| COMBOUSDT     | 0.0009999     | 0.001195    | 0.0701       | 0.03063         | 0.01414      | 0.01445     | 70.63         | 0.09112                 | 0.1249         | 0.08383                  | 0.1417       | 159.46  | 275999999.999 |
| BCHUSDT       | 0.0009703     | 0.001376    | 0.06056      | 0.04373         | 0.01324      | 0.0214      | 74.83         | 0.08621                 | 0.1374         | 0.08494                  | 0.2054       | 1407.96 | 275999999.999 |
| RVNUSDT       | 0.0005357     | 0.001992    | 0.04351      | 0.004016        | 0.01141      | 0.008947    | 91.45         | 0.049                   | 0.05004        | 0.02542                  | 0.1246       | 988.67  | 275999999.999 |
| ICXUSDT       | 0.0007903     | 0.00162     | 0.06883      | 0.03297         | 0.0155       | 0.01571     | 143.2         | 0.09588                 | 0.05641        | 0.09128                  | 0.2193       | 1149.67 | 275999999.999 |
| RNDRUSDT      | 0.001239      | 0.00199     | 0.05221      | 0.03976         | 0.00898      | 0.01041     | 37.27         | 0.07451                 | 0.02605        | 0.07168                  | 0.09711      | 278.88  | 275999999.999 |
| CVXUSDT       | 0.000515      | 0.000582    | 0.04721      | 0.01528         | 0.01409      | 0.01116     | 136.6         | 0.04744                 | 0.006941       | 0.03835                  | 0.1057       | 412.46  | 275999999.999 |
| CTKUSDT       | 0.0007197     | 0.001949    | 0.0764       | 0.01743         | 0.01714      | 0.0166      | 137.4         | 0.09288                 | 0.02771        | 0.08949                  | 0.2169       | 1084.67 | 275999999.999 |
