### single symbol backtest metrics ###

update: 2023-09-11

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp           average daily gain, recent data weighted heavier
adg_per_exp             average daily gain for whole backtest
exp_rts_mean            exposure ratios mean: average wallet exposure during backtest
time_at_max_exp         ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max           how many hours in a stretch with no fills
pa_dist_mean            price action distance mean: the average distance between position price and market price
pa_dist_std             price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean mean of 1% highest pa_dist_mean
loss_profit_rt          loss to profit ratio: abs(sum(losses)) / sum(profit)
n_days                  backtest number of days
score                   used internally by optimizer
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                              long                                                                                              |
+---------------+---------------+-------------+--------------+-----------------+---------------+--------------+-------------+-------------------------+----------------+---------+---------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | pa_dist_1pct_worst_mean | loss_profit_rt | n_days  | score         |
+---------------+---------------+-------------+--------------+-----------------+---------------+--------------+-------------+-------------------------+----------------+---------+---------------+
| RADUSDT       | 0.002986      | 0.0009026   | 0.09285      | 0.02584         | 23.98         | 0.01152      | 0.009693    | 0.04534                 | 0.04969        | 122.5   | 1297211.49701 |
| RDNTUSDT      | 0.002967      | 0.002238    | 0.1351       | 0.04126         | 23.72         | 0.01214      | 0.01159     | 0.06138                 | 0.02027        | 157.5   | 1297211.49703 |
| SSVUSDT       | 0.002825      | 0.0017      | 0.129        | 0.02658         | 31.55         | 0.01984      | 0.0165      | 0.07979                 | 0.03915        | 197.5   | 1297211.49717 |
| UMAUSDT       | 0.002784      | 0.0006646   | 0.06072      | 0.00034         | 40.77         | 0.01223      | 0.01108     | 0.05765                 | 0.07537        | 122.48  | 1297211.49722 |
| IDEXUSDT      | 0.002643      | 0.001809    | 0.1403       | 0.01866         | 20.65         | 0.01334      | 0.01133     | 0.05487                 | 0.03278        | 129.5   | 1297211.49736 |
| NKNUSDT       | 0.002172      | 0.002866    | 0.1177       | 0.05323         | 30.93         | 0.0136       | 0.01997     | 0.1377                  | 0.01634        | 883.71  | 1297211.49783 |
| 1000PEPEUSDT  | 0.002165      | 0.002691    | 0.09372      | 0.009814        | 39.77         | 0.01721      | 0.0163      | 0.09396                 | 0.008345       | 127.31  | 1297211.49783 |
| 1000FLOKIUSDT | 0.002117      | 0.001454    | 0.1322       | 0.05704         | 24.83         | 0.01118      | 0.01017     | 0.04842                 | 0.01706        | 126.31  | 1297211.49788 |
| SOLUSDT       | 0.002107      | 0.002758    | 0.1121       | 0.06942         | 59.87         | 0.01574      | 0.02401     | 0.1479                  | 0.05704        | 1091.71 | 1297211.49789 |
| IOSTUSDT      | 0.001899      | 0.001748    | 0.1393       | 0.06415         | 48.57         | 0.01789      | 0.02082     | 0.142                   | 0.0619         | 1297.66 | 1297211.4981  |
| MTLUSDT       | 0.001869      | 0.00168     | 0.1151       | 0.06049         | 46.7          | 0.01547      | 0.02074     | 0.1276                  | 0.02216        | 892.71  | 1297211.49813 |
| ASTRUSDT      | 0.001857      | 0.001787    | 0.1406       | 0.09738         | 52.62         | 0.01383      | 0.01846     | 0.1016                  | 0.0981         | 207.89  | 1297211.49814 |
| OCEANUSDT     | 0.001837      | 0.002278    | 0.1135       | 0.05725         | 35.7          | 0.01793      | 0.02256     | 0.1474                  | 0.05437        | 1040.71 | 1297211.49816 |
| HIGHUSDT      | 0.001815      | 0.001541    | 0.1157       | 0.06629         | 30.02         | 0.01657      | 0.01456     | 0.07552                 | 0.07629        | 214.89  | 1297211.49819 |
| KEYUSDT       | 0.001775      | 0.00147     | 0.1353       | 0.06372         | 27.28         | 0.0172       | 0.01602     | 0.08427                 | 0.03133        | 108.5   | 1297211.49822 |
| STXUSDT       | 0.001777      | 0.001672    | 0.1256       | 0.08002         | 66.1          | 0.01956      | 0.02381     | 0.1183                  | 0.04841        | 200.39  | 1297211.49822 |
| BLURUSDT      | 0.001754      | 0.001711    | 0.114        | 0.008362        | 32.23         | 0.0142       | 0.01202     | 0.05954                 | 0.01134        | 134.5   | 1297211.49825 |
| RNDRUSDT      | 0.001731      | 0.002019    | 0.05592      | 0.003616        | 50.67         | 0.01434      | 0.01276     | 0.05902                 | 0.007023       | 218.89  | 1297211.49827 |
| GMXUSDT       | 0.001715      | 0.00119     | 0.1447       | 0.05237         | 37.63         | 0.01538      | 0.01336     | 0.05669                 | 0.03743        | 204.39  | 1297211.49829 |
| RENUSDT       | 0.001679      | 0.001667    | 0.07824      | 0.02839         | 55.12         | 0.01847      | 0.0195      | 0.1278                  | 0.03137        | 1062.71 | 1297211.49832 |
| DASHUSDT      | 0.001673      | 0.001365    | 0.08876      | 0.03809         | 48.27         | 0.01461      | 0.01812     | 0.1197                  | 0.05032        | 1314.66 | 1297211.49833 |
