### single symbol backtest metrics ###

update: 2023-11-09

note: symbols younger than 2021-05-01 are not optimized on their own,
instead the best config from among the older symbols is chosen

metric abbreviation comments:
adg_w_per_exp            average daily gain, recent data weighted heavier
adg_per_exp              average daily gain for whole backtest
exp_rts_mean             exposure ratios mean: average wallet exposure during backtest
time_at_max_exp          ratio of hours spent at >90% exposure to hours spent at <90% exposure
hrs_stuck_max            how many hours in a stretch with no fills
pa_dist_mean             price action distance mean: the average distance between position price and market price
pa_dist_std              price action distance std: the standard deviation of the distance between position price and market price
pa_dist_1pct_worst_mean  mean of 1% highest pa_dist_mean
loss_profit_rt           loss to profit ratio: abs(sum(losses)) / sum(profit)
drawdown_max             max drawdown
drawdown_1pct_worst_mean mean of 1% worst drawdowns from hourly samples
sharpe_ratio             sharpe ratio (excluding risk free return) from daily samples
n_days                   backtest number of days
score                    used internally by optimizer
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                 long                                                                                                                 |
+-----------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| symbol    | adg_w_per_exp | adg_per_exp | exp_rts_mean | time_at_max_exp | pa_dist_mean | pa_dist_std | hrs_stuck_max | pa_dist_1pct_worst_mean | loss_profit_rt | drawdown_1pct_worst_mean | drawdown_max | n_days  | score         |
+-----------+---------------+-------------+--------------+-----------------+--------------+-------------+---------------+-------------------------+----------------+--------------------------+--------------+---------+---------------+
| SOLUSDT   | 0.001608      | 0.003141    | 0.0594       | 0.03478         | 0.01252      | 0.01552     | 128.0         | 0.07427                 | 0.1186         | 0.08                     | 0.1635       | 1148.67 | 275999999.998 |
| CRVUSDT   | 0.0006805     | 0.001564    | 0.0465       | 0.02009         | 0.01485      | 0.01519     | 106.3         | 0.08941                 | 0.06601        | 0.0839                   | 0.248        | 1160.67 | 275999999.999 |
| XEMUSDT   | 0.0006818     | 0.001652    | 0.05065      | 0.02437         | 0.0123       | 0.01377     | 139.1         | 0.08264                 | 0.009074       | 0.07448                  | 0.1766       | 979.67  | 275999999.999 |
| TOMOUSDT  | 0.0005949     | 0.0009089   | 0.02284      | 0.00545         | 0.01996      | 0.01862     | 137.4         | 0.09934                 | 0.01276        | 0.04413                  | 0.2334       | 1120.67 | 275999999.999 |
| AAVEUSDT  | 0.001009      | 0.002384    | 0.05771      | 0.02692         | 0.01318      | 0.013       | 108.9         | 0.0848                  | 0.0175         | 0.07817                  | 0.2187       | 1116.67 | 275999999.999 |
| EGLDUSDT  | 0.0006249     | 0.001611    | 0.05627      | 0.01571         | 0.01646      | 0.01272     | 143.9         | 0.04803                 | 0.0638         | 0.02852                  | 0.1101       | 1148.67 | 275999999.999 |
| ETHUSDT   | 0.0005333     | 0.001592    | 0.04686      | 0.03464         | 0.007746     | 0.01049     | 70.3          | 0.06433                 | 0.01255        | 0.06263                  | 0.1186       | 1402.96 | 275999999.999 |
| LRCUSDT   | 0.0006017     | 0.001611    | 0.06485      | 0.0285          | 0.01193      | 0.01256     | 84.47         | 0.0964                  | 0.02561        | 0.09366                  | 0.2309       | 1113.67 | 275999999.999 |
| OMGUSDT   | 0.0008732     | 0.00171     | 0.06162      | 0.01646         | 0.0133       | 0.0126      | 125.3         | 0.07971                 | 0.09333        | 0.08264                  | 0.2137       | 1221.58 | 275999999.999 |
| AXSUSDT   | 0.0005265     | 0.001784    | 0.02661      | 0.01134         | 0.01517      | 0.0137      | 94.25         | 0.04944                 | 0.04666        | 0.02092                  | 0.1084       | 1081.67 | 275999999.999 |
| QTUMUSDT  | 0.0005911     | 0.001161    | 0.07109      | 0.01187         | 0.01699      | 0.01477     | 117.3         | 0.09914                 | 0.02864        | 0.08733                  | 0.2477       | 1353.62 | 275999999.999 |
| RSRUSDT   | 0.0007996     | 0.001541    | 0.06296      | 0.01091         | 0.01839      | 0.01636     | 139.9         | 0.09933                 | 0.06949        | 0.08792                  | 0.1726       | 1114.67 | 275999999.999 |
| FTMUSDT   | 0.0008239     | 0.002118    | 0.05252      | 0.01863         | 0.01319      | 0.01887     | 122.4         | 0.0997                  | 0.01234        | 0.07927                  | 0.2481       | 1138.67 | 275999999.999 |
| HBARUSDT  | 0.001263      | 0.001793    | 0.03743      | 0.02832         | 0.008313     | 0.01265     | 52.38         | 0.09217                 | 0.05686        | 0.09943                  | 0.1888       | 966.67  | 275999999.999 |
| BANDUSDT  | 0.0008403     | 0.001973    | 0.05271      | 0.01176         | 0.01638      | 0.01318     | 110.5         | 0.07567                 | 0.0501         | 0.07267                  | 0.1896       | 1194.67 | 275999999.999 |
| ETCUSDT   | 0.0008074     | 0.001859    | 0.02606      | 0.01084         | 0.006708     | 0.006635    | 61.97         | 0.04796                 | 0.02877        | 0.04845                  | 0.13         | 1387.62 | 275999999.999 |
| DEFIUSDT  | 0.0006468     | 0.001617    | 0.06868      | 0.02475         | 0.01065      | 0.01233     | 127.2         | 0.09029                 | 0.02922        | 0.08216                  | 0.207        | 1164.67 | 275999999.999 |
| ENJUSDT   | 0.000727      | 0.001791    | 0.06639      | 0.02815         | 0.01405      | 0.01777     | 120.7         | 0.08316                 | 0.01019        | 0.07355                  | 0.243        | 1133.67 | 275999999.999 |
| SNXUSDT   | 0.0008237     | 0.001664    | 0.08257      | 0.0171          | 0.01931      | 0.01558     | 129.2         | 0.09645                 | 0.01097        | 0.07872                  | 0.1773       | 1178.67 | 275999999.999 |
| IOSTUSDT  | 0.0006032     | 0.001441    | 0.06052      | 0.01692         | 0.01413      | 0.01547     | 143.3         | 0.09933                 | 0.03725        | 0.08667                  | 0.2318       | 1352.62 | 275999999.999 |
| ZENUSDT   | 0.0006286     | 0.001573    | 0.0519       | 0.005332        | 0.01778      | 0.0133      | 141.1         | 0.0654                  | 0.03307        | 0.04638                  | 0.127        | 1077.67 | 275999999.999 |
| SUSHIUSDT | 0.000727      | 0.001631    | 0.03436      | 0.02015         | 0.01532      | 0.01652     | 88.15         | 0.09846                 | 0.04494        | 0.09957                  | 0.1528       | 1158.67 | 275999999.999 |
| BNBUSDT   | 0.000583      | 0.001804    | 0.03322      | 0.01966         | 0.006351     | 0.008247    | 129.0         | 0.03982                 | 0.02483        | 0.03824                  | 0.1105       | 1362.62 | 275999999.999 |
| NEARUSDT  | 0.0008516     | 0.001729    | 0.0533       | 0.04016         | 0.009754     | 0.01492     | 78.73         | 0.08313                 | 0.09576        | 0.08349                  | 0.173        | 1117.62 | 275999999.999 |
| ADAUSDT   | 0.0008311     | 0.001619    | 0.04824      | 0.03909         | 0.008083     | 0.0136      | 75.32         | 0.08935                 | 0.04907        | 0.09432                  | 0.2286       | 1373.62 | 275999999.999 |
| GRTUSDT   | 0.0006237     | 0.001491    | 0.05592      | 0.006788        | 0.01444      | 0.01262     | 142.1         | 0.0806                  | 0.0537         | 0.07261                  | 0.2014       | 1052.67 | 275999999.999 |
| BELUSDT   | 0.0007638     | 0.001579    | 0.05176      | 0.01162         | 0.01547      | 0.01294     | 127.9         | 0.07882                 | 0.03013        | 0.07313                  | 0.172        | 1084.67 | 275999999.999 |
| BALUSDT   | 0.0005262     | 0.001126    | 0.03255      | 0.01428         | 0.01354      | 0.01341     | 142.8         | 0.0522                  | 0.05757        | 0.03719                  | 0.2277       | 1160.67 | 275999999.999 |
| YFIUSDT   | 0.00114       | 0.003413    | 0.05387      | 0.02337         | 0.01015      | 0.01303     | 101.6         | 0.04697                 | 0.05243        | 0.04388                  | 0.2283       | 1161.67 | 275999999.999 |
| OCEANUSDT | 0.0009815     | 0.001698    | 0.06598      | 0.0116          | 0.01686      | 0.01477     | 134.2         | 0.07098                 | 0.123          | 0.07987                  | 0.1762       | 1099.67 | 275999999.999 |
| BLZUSDT   | 0.0006876     | 0.0009915   | 0.04519      | 0.005909        | 0.01721      | 0.0164      | 122.8         | 0.09792                 | 0.08723        | 0.08717                  | 0.1981       | 1145.67 | 275999999.999 |
| SANDUSDT  | 0.0006845     | 0.002004    | 0.03957      | 0.01555         | 0.008758     | 0.01045     | 129.7         | 0.06428                 | 0.01659        | 0.05843                  | 0.1711       | 1016.67 | 275999999.999 |
| AVAXUSDT  | 0.0005868     | 0.001778    | 0.08769      | 0.05614         | 0.02275      | 0.03755     | 109.7         | 0.08367                 | 0.08592        | 0.07797                  | 0.215        | 1139.67 | 275999999.999 |
| SFPUSDT   | 0.0007787     | 0.002099    | 0.04213      | 0.02209         | 0.01319      | 0.01387     | 135.5         | 0.08214                 | 0.009388       | 0.07567                  | 0.195        | 986.67  | 275999999.999 |
| DOGEUSDT  | 0.001166      | 0.002968    | 0.07285      | 0.02498         | 0.01087      | 0.01001     | 106.5         | 0.0745                  | 0.06562        | 0.0894                   | 0.2252       | 1213.58 | 275999999.999 |
| 1INCHUSDT | 0.0007484     | 0.001842    | 0.04842      | 0.01686         | 0.01281      | 0.01314     | 136.4         | 0.07012                 | 0.06002        | 0.06277                  | 0.143        | 1046.54 | 275999999.999 |
| LITUSDT   | 0.0006833     | 0.00143     | 0.03962      | 0.01803         | 0.01474      | 0.01355     | 118.7         | 0.07111                 | 0.004776       | 0.06223                  | 0.1973       | 992.67  | 275999999.999 |
| MATICUSDT | 0.001267      | 0.00348     | 0.05005      | 0.02018         | 0.009612     | 0.01007     | 91.1          | 0.06855                 | 0.009906       | 0.06405                  | 0.1345       | 1111.67 | 275999999.999 |
| RLCUSDT   | 0.001205      | 0.003212    | 0.06275      | 0.03301         | 0.01338      | 0.01459     | 111.2         | 0.09488                 | 0.01084        | 0.0876                   | 0.2096       | 1192.67 | 275999999.999 |
| VETUSDT   | 0.0005618     | 0.001646    | 0.03538      | 0.006533        | 0.009235     | 0.01022     | 104.2         | 0.05514                 | 0.01436        | 0.03902                  | 0.2135       | 1359.62 | 275999999.999 |
| SXPUSDT   | 0.0007333     | 0.002471    | 0.03268      | 0.0167          | 0.0108       | 0.0116      | 80.73         | 0.06259                 | 0.01102        | 0.05705                  | 0.1544       | 1202.58 | 275999999.999 |
| ANKRUSDT  | 0.0009376     | 0.001308    | 0.03614      | 0.01561         | 0.01008      | 0.0113      | 121.8         | 0.07648                 | 0.02963        | 0.07292                  | 0.2297       | 1015.67 | 275999999.999 |
| RUNEUSDT  | 0.0008255     | 0.002492    | 0.05474      | 0.01956         | 0.01624      | 0.01531     | 143.2         | 0.09761                 | 0.05044        | 0.09169                  | 0.2286       | 1157.67 | 275999999.999 |
| DOTUSDT   | 0.0005181     | 0.001447    | 0.05055      | 0.01919         | 0.01123      | 0.01297     | 134.1         | 0.07256                 | 0.0189         | 0.06161                  | 0.2473       | 1170.67 | 275999999.999 |
| ALGOUSDT  | 0.0008645     | 0.001975    | 0.05368      | 0.02043         | 0.01282      | 0.01391     | 128.5         | 0.09041                 | 0.01456        | 0.08331                  | 0.1761       | 1236.58 | 275999999.999 |
| COTIUSDT  | 0.000792      | 0.001879    | 0.06498      | 0.03            | 0.0164       | 0.01423     | 129.6         | 0.09643                 | 0.07062        | 0.0902                   | 0.2438       | 972.67  | 275999999.999 |
| BCHUSDT   | 0.0009796     | 0.001379    | 0.05986      | 0.04315         | 0.01311      | 0.02141     | 74.83         | 0.08633                 | 0.1355         | 0.08505                  | 0.2054       | 1402.96 | 275999999.999 |
| RVNUSDT   | 0.0005369     | 0.001994    | 0.04344      | 0.003978        | 0.0114       | 0.008997    | 91.45         | 0.049                   | 0.04992        | 0.02542                  | 0.1246       | 987.67  | 275999999.999 |
| ICXUSDT   | 0.0008049     | 0.001622    | 0.06881      | 0.03294         | 0.0155       | 0.0156      | 143.2         | 0.09588                 | 0.05673        | 0.09128                  | 0.2193       | 1147.67 | 275999999.999 |
| CTKUSDT   | 0.0007228     | 0.001951    | 0.07593      | 0.01748         | 0.01711      | 0.01584     | 137.4         | 0.09288                 | 0.02778        | 0.08949                  | 0.2169       | 1083.67 | 275999999.999 |
| COMPUSDT  | 0.001128      | 0.001761    | 0.07032      | 0.03316         | 0.01319      | 0.01531     | 138.5         | 0.09739                 | 0.0443         | 0.09323                  | 0.1642       | 1223.58 | 275999999.999 |
| MKRUSDT   | 0.001168      | 0.001941    | 0.08644      | 0.02304         | 0.01283      | 0.01207     | 105.1         | 0.09111                 | 0.04916        | 0.09509                  | 0.2164       | 1179.67 | 275999999.999 |
| XTZUSDT   | 0.0005843     | 0.0018      | 0.06116      | 0.0217          | 0.01281      | 0.01305     | 136.3         | 0.08118                 | 0.04793        | 0.07427                  | 0.1557       | 1366.62 | 275999999.999 |
| CHRUSDT   | 0.0008753     | 0.002094    | 0.07128      | 0.02607         | 0.01247      | 0.01391     | 132.4         | 0.09057                 | 0.05304        | 0.08154                  | 0.2462       | 971.67  | 275999999.999 |
| THETAUSDT | 0.0007349     | 0.002488    | 0.06309      | 0.02019         | 0.0117       | 0.0113      | 74.72         | 0.08719                 | 0.01268        | 0.07991                  | 0.2312       | 1256.62 | 275999999.999 |
| SKLUSDT   | 0.0007073     | 0.001695    | 0.04923      | 0.02645         | 0.01505      | 0.01517     | 140.1         | 0.09769                 | 0.01459        | 0.08995                  | 0.2478       | 1063.67 | 275999999.999 |
| ALICEUSDT | 0.0006987     | 0.001749    | 0.04622      | 0.01269         | 0.01246      | 0.01055     | 103.2         | 0.07501                 | 0.01799        | 0.06724                  | 0.2227       | 967.83  | 275999999.999 |
