Snapshot generated at,2025-10-26T08:17:45.111508+00:00

Account,Balance,Gross Exposure,Gross %,Net Exposure,Net %,Unrealized PnL,Positions,Orders,Alerts,Portfolio Share
Binance Futures Alpha Mint,"$100,519.39",$890.00,0.89%,$890.00,0.89%,$-4.82,5,30,None,28.47%

Symbol exposures
Symbol,Gross Exposure,Gross %,Net Exposure,Net %
BNB/USDT:USDT,$179.41,0.18%,$179.41,0.18%
SOL/USDT:USDT,$178.25,0.18%,$178.25,0.18%
ETH/USDT:USDT,$177.85,0.18%,$177.85,0.18%
XRP/USDT:USDT,$177.27,0.18%,$177.27,0.18%
DOGE/USDT:USDT,$177.22,0.18%,$177.22,0.18%

Open positions
Symbol,Side,Notional,Exposure %,Unrealized PnL,PnL %,Entry,Mark,Liquidation,Take profit,Stop loss
SOL/USDT:USDT,long,$178.25,0.18%,$-1.15,-0.00%,195.0000,193.7500,0.0000,-,-
ETH/USDT:USDT,long,$177.85,0.18%,$0.45,0.00%,"3,942.0800","3,952.1600",0.0000,-,-
BNB/USDT:USDT,long,$179.41,0.18%,$-0.34,-0.00%,"1,123.4200","1,121.3200",0.0000,-,-
DOGE/USDT:USDT,long,$177.22,0.18%,$-1.91,-0.00%,0.1986,0.1965,0.0000,-,-
XRP/USDT:USDT,long,$177.27,0.18%,$-1.88,-0.00%,2.6462,2.6184,0.0000,-,-

Open orders
Order ID,Symbol,Side,Type,Price,Amount,Remaining,Status,Reduce only,Notional,Stop price,Created
85644027418,DOGE/USDT:USDT,sell,limit,0.1999,902.0,902.0,open,Yes,$180.35,0.0000,2025-10-25T07:33:42.414000+00:00
85644027530,DOGE/USDT:USDT,buy,limit,0.1924,1471.0,1471.0,open,No,$282.99,0.0000,2025-10-25T07:33:42.612000+00:00
85644027862,DOGE/USDT:USDT,buy,limit,0.1886,3870.0,3870.0,open,No,$729.80,0.0000,2025-10-25T07:33:42.815000+00:00
85644037539,DOGE/USDT:USDT,buy,limit,0.1847,10182.0,10182.0,open,No,"$1,880.51",0.0000,2025-10-25T07:33:50.881000+00:00
85644037922,DOGE/USDT:USDT,buy,limit,0.1805,26789.0,26789.0,open,No,"$4,835.41",0.0000,2025-10-25T07:33:51.079000+00:00
85644038379,DOGE/USDT:USDT,buy,limit,0.1754,102523.0,102523.0,open,No,"$17,983.56",0.0000,2025-10-25T07:33:51.280000+00:00
162479447630,SOL/USDT:USDT,sell,limit,196.3200,0.92,0.92,open,Yes,$180.61,0.0000,2025-10-25T08:23:15.947000+00:00
162479450490,SOL/USDT:USDT,buy,limit,188.9000,1.5,1.5,open,No,$283.35,0.0000,2025-10-25T08:23:16.146000+00:00
162479455824,SOL/USDT:USDT,buy,limit,185.1600,3.95,3.95,open,No,$731.38,0.0000,2025-10-25T08:23:16.346000+00:00
162479496677,SOL/USDT:USDT,buy,limit,181.3500,10.39,10.39,open,No,"$1,884.23",0.0000,2025-10-25T08:23:23.059000+00:00
162479497610,SOL/USDT:USDT,buy,limit,177.2300,27.34,27.34,open,No,"$4,845.47",0.0000,2025-10-25T08:23:23.259000+00:00
162479499262,SOL/USDT:USDT,buy,limit,172.2300,104.32,104.32,open,No,"$17,967.03",0.0000,2025-10-25T08:23:23.458000+00:00
126745161500,XRP/USDT:USDT,sell,limit,2.6641,67.7,67.7,open,Yes,$180.36,0.0000,2025-10-25T19:03:12.758000+00:00
126745161771,XRP/USDT:USDT,buy,limit,2.5634,110.4,110.4,open,No,$283.00,0.0000,2025-10-25T19:03:12.955000+00:00
126745162548,XRP/USDT:USDT,buy,limit,2.5127,290.5,290.5,open,No,$729.94,0.0000,2025-10-25T19:03:13.156000+00:00
126745196137,XRP/USDT:USDT,buy,limit,2.4610,764.3,764.3,open,No,"$1,880.94",0.0000,2025-10-25T19:03:21.273000+00:00
126745196738,XRP/USDT:USDT,buy,limit,2.4051,2010.9,2010.9,open,No,"$4,836.42",0.0000,2025-10-25T19:03:21.505000+00:00
126745198222,XRP/USDT:USDT,buy,limit,2.3373,7693.5,7693.5,open,No,"$17,982.02",0.0000,2025-10-25T19:03:21.674000+00:00
79442437368,BNB/USDT:USDT,sell,limit,"1,130.9400",0.16,0.16,open,Yes,$180.95,0.0000,2025-10-26T01:22:28.293000+00:00
79442437429,BNB/USDT:USDT,buy,limit,"1,088.2800",0.26,0.26,open,No,$282.95,0.0000,2025-10-26T01:22:28.494000+00:00
79442437545,BNB/USDT:USDT,buy,limit,"1,066.8000",0.69,0.69,open,No,$736.09,0.0000,2025-10-26T01:22:28.696000+00:00
79442448688,BNB/USDT:USDT,buy,limit,"1,044.7700",1.81,1.81,open,No,"$1,891.03",0.0000,2025-10-26T01:22:36.755000+00:00
79442451139,BNB/USDT:USDT,buy,limit,"1,021.0300",4.76,4.76,open,No,"$4,860.10",0.0000,2025-10-26T01:22:36.954000+00:00
79442451858,BNB/USDT:USDT,buy,limit,992.2300,18.08,18.08,open,No,"$17,939.52",0.0000,2025-10-26T01:22:37.156000+00:00
8389765995835771376,ETH/USDT:USDT,sell,limit,"3,968.4600",0.045,0.045,open,Yes,$178.58,0.0000,2025-10-26T05:59:16.745000+00:00
